Bicycle_Type,Bicycle_Frame,Bicycle_Color,Bicycle_Make,Bicycle_Value,cluster
REGULAR,MEN'S,GRAY,MIELE,350,cluster_29
MOUNTAIN,MEN'S,RED,CCM,400,cluster_8
HYBRID,WOMEN'S,SILK,RALEIGH,200,cluster_21
HYBRID,UNISEX,BLUE,GIAN,3000,cluster_10
MOUNTAIN,MEN'S,GREEN,CCM,150,cluster_8
OTHER,WOMEN'S,PURPLE,SPEC,400,cluster_15
MOUNTAIN,WOMEN'S,RED,SUPERCYCLE,150,cluster_20
TOURING,MEN'S,WHITE,MUSING,2000,cluster_39
MOUNTAIN,UNISEX,BLUE,SPORTEX,500,cluster_2
RACER,MEN'S,BLUE,OPUS,700,cluster_16
MOUNTAIN,MEN'S,BLUE,RALEIGH,350,cluster_7
MOUNTAIN,UNISEX,BLACK,DIAMONDBACK,500,cluster_13
HYBRID,UNISEX,WHITE,GIANT,624,cluster_25
REGULAR,UNISEX,BLACK,KONA,400,cluster_6
HYBRID,UNISEX,GREEN,KONA,425,cluster_25
TOURING,UNISEX,BLACK,JAMUS,650,cluster_32
HYBRID,UNISEX,RED,SPEC,800,cluster_25
MOUNTAIN,MEN'S,SILK,MARIN,600,cluster_8
HYBRID,UNISEX,SILK,SPEC,500,cluster_25
HYBRID,WOMEN'S,BLUE,SPEC,1100,cluster_21
HYBRID,MEN'S,GREEN,GIANT,2000,cluster_39
HYBRID,WOMEN'S,BLUE,UNKNOWN,300,cluster_21
MOUNTAIN,MEN'S,GOLDEN,SPEC,1000,cluster_8
MOUNTAIN,WOMEN'S,WHITE,LIV,800,cluster_28
MOUNTAIN,MEN'S,BLACK,NORCO,800,cluster_37
RACER,MEN'S,BLACK,GIAN,1000,cluster_16
OTHER,MEN'S,BLACK,BREEZER,1800,cluster_39
HYBRID,MEN'S,BLACK,STEVENS,1000,cluster_17
REGULAR,UNISEX,GREEN,SUPERCYCLE,200,cluster_6
MOUNTAIN,MEN'S,BLACK,SUPERCYCLE,800,cluster_37
OTHER,MEN'S,BLACK,MINE,1500,cluster_5
MOUNTAIN,MEN'S,RED,GT,600,cluster_8
HYBRID,WOMEN'S,BLUE,LIV,600,cluster_21
MOUNTAIN,UNISEX,WHITE,GIAN,500,cluster_2
REGULAR,WOMEN'S,WHITE,EVERYDAY TRAVEL,160,cluster_38
HYBRID,UNISEX,BLUE,UNKNOWN,500,cluster_25
HYBRID,MEN'S,GRAY,CARRERA,300,cluster_12
TOURING,WOMEN'S,ORANGE,RALEIGH,1300,cluster_18
MOUNTAIN,MEN'S,GRAY,CCM,800,cluster_12
OTHER,MEN'S,RED,GIAN,2600,cluster_39
REGULAR,CHILD'S,BLUE,UNKNOWN,98,cluster_29
MOUNTAIN,MEN'S,BLACK,CCM,700,cluster_37
MOUNTAIN,UNISEX,BLACK,CCM,620,cluster_13
MOUNTAIN,MEN'S,GRAY,CCM,500,cluster_12
HYBRID,MEN'S,BLACK,KAWASAKI,600,cluster_31
MOUNTAIN,UNISEX,WHITE,BONELLI,500,cluster_2
HYBRID,MEN'S,WHITE,DIAMONDBACK,531,cluster_3
REGULAR,CHILD'S,GREEN,CCM,250,cluster_29
REGULAR,CHILD'S,PURPLE,CCM,250,cluster_29
MOUNTAIN,MEN'S,ORANGE,UNKNOWN,600,cluster_8
MOUNTAIN,CHILD'S,GREEN,UNKNOWN,600,cluster_23
MOUNTAIN,WOMEN'S,PINK,UNKNOWN,600,cluster_11
MOUNTAIN,MEN'S,RED,GIANT,700,cluster_8
OTHER,UNISEX,ORANGE,LOUG,1840,cluster_10
HYBRID,MEN'S,BLACK,MARIN,826,cluster_31
OTHER,UNISEX,GRAY,GIANT,3615,cluster_36
OTHER,UNISEX,TURQUOISE ,ROCM,2650,cluster_10
OTHER,CHILD'S,GREEN,MOVELO,98,cluster_15
MOUNTAIN,MEN'S,GREEN,MOVELO,136,cluster_8
MOUNTAIN,MEN'S,BLACK,TREK,500,cluster_37
MOUNTAIN,MEN'S,BLUE,NORC,1500,cluster_14
HYBRID,UNISEX,BLACK,DEVINCI,650,cluster_25
MOUNTAIN,WOMEN'S,GREEN,SCOTT,800,cluster_11
REGULAR,UNISEX,GREEN,UNKNOWN,150,cluster_6
MOUNTAIN,CHILD'S,RED,SPECIALIZED,500,cluster_20
HYBRID,WOMEN'S,RED,OPUS,500,cluster_21
OTHER,MEN'S,BLACK,TESLICA,1800,cluster_39
HYBRID,MEN'S,BLACK,MARIN,1380,cluster_17
REGULAR,MEN'S,BLACK,GT,1000,cluster_24
MOUNTAIN,MEN'S,GREEN,NORC,2000,cluster_14
BMX,MEN'S,BLACK,UNKNOWN,500,cluster_26
MOUNTAIN,CHILD'S,PURPLE,SPORTEK,804,cluster_20
MOUNTAIN,CHILD'S,RED,NORTHLANDS,804,cluster_20
REGULAR,MEN'S,RED,GIAN,3000,cluster_36
TOURING,CHILD'S,SILK,KONA,2000,cluster_39
OTHER,WOMEN'S,GREEN,KONDA,700,cluster_15
MOUNTAIN,MEN'S,WHITE,KUNSTADT,1200,cluster_28
MOUNTAIN,MEN'S,WHITE,KUNSTADT,1200,cluster_28
HYBRID,MEN'S,BLACK,SPEC,800,cluster_31
HYBRID,MEN'S,GREEN,GIAN,2500,cluster_39
MOUNTAIN,WOMEN'S,BLACK,RALEIGH,100,cluster_11
BMX,CHILD'S,BLACK,BMX,120,cluster_26
TOURING,WOMEN'S,GREEN,SUPERCYCLE,200,cluster_18
MOUNTAIN,MEN'S,BLACK,UNKNOWN,800,cluster_37
RACER,MEN'S,RED,SPECIALIZED,1500,cluster_16
MOUNTAIN,CHILD'S,BLACK,SUPERCYCLE,804,cluster_13
MOUNTAIN,MEN'S,BLACK,TREK3SERIES,800,cluster_37
MOUNTAIN,MEN'S,RED,CCM,800,cluster_8
MOUNTAIN,MEN'S,WHITE,JAMIS,500,cluster_28
REGULAR,WOMEN'S,BLUE,MARIN,590,cluster_38
HYBRID,UNISEX,PURPLE,SCHWINN,200,cluster_25
MOUNTAIN,MEN'S,RED,KONA,800,cluster_8
HYBRID,MEN'S,GRAY,TREK,800,cluster_12
HYBRID,WOMEN'S,BLACK,CANNONDALE,850,cluster_0
OTHER,MEN'S,WHITE,CANNONDALE,1250,cluster_5
REGULAR,MEN'S,RED,UNKNOWN,10,cluster_29
OTHER,WOMEN'S,TURQUOISE,CRUISER,200,cluster_15
HYBRID,MEN'S,BLACK,DAVINCI,800,cluster_31
HYBRID,MEN'S,BLACK,CAPIX,400,cluster_31
MOUNTAIN,MEN'S,BLUE,GIAN,300,cluster_7
TOURING,WOMEN'S,BLUE,NORC,600,cluster_18
OTHER,MEN'S,SILK,SPEC,1000,cluster_5
OTHER,WOMEN'S,WHITE,FUJI,500,cluster_15
MOUNTAIN,MEN'S,WHITE,KONA,600,cluster_28
HYBRID,WOMEN'S,WHITE,SPECIALIZED,800,cluster_21
MOUNTAIN,MEN'S,RED,TREK,100,cluster_8
REGULAR,UNISEX,SILK,RALE,800,cluster_6
REGULAR,WOMEN'S,GREEN,OPUS,400,cluster_38
MOUNTAIN,WOMEN'S,GREEN,K2,350,cluster_11
RACER,MEN'S,YELLOW,DEVINCI,500,cluster_16
MOUNTAIN,MEN'S,BLACK,INFINITY,200,cluster_37
MOUNTAIN,MEN'S,RED,CCM,50,cluster_8
MOUNTAIN,MEN'S,RED,EUROBIKE,350,cluster_8
HYBRID,MEN'S,BLACK,GARY,400,cluster_31
RACER,MEN'S,BLACK,GIAN,1800,cluster_39
REGULAR,WOMEN'S,WHITE,GIAN,2500,cluster_36
MOUNTAIN,UNISEX,BLUE,UNKNOWN,500,cluster_2
REGULAR,MEN'S,WHITE,SCOTT,600,cluster_29
MOUNTAIN,MEN'S,BLACK,FREE SPIRIT,800,cluster_37
RACER,MEN'S,BLACK,GIANT,2000,cluster_39
OTHER,MEN'S,BLACK,RIZE,2000,cluster_39
MOUNTAIN,MEN'S,BLACK,NORCO,1000,cluster_37
HYBRID,WOMEN'S,BLACK,GIANT,3000,cluster_36
OTHER,WOMEN'S,WHITE,UNKNOWN,600,cluster_15
OTHER,UNISEX,GRAY,UNKNOWN,350,cluster_32
REGULAR,WOMEN'S,BLUE,NORCO,2500,cluster_36
HYBRID,UNISEX,GRAY,B'TWIN,260,cluster_25
MOUNTAIN,UNISEX,SILK,SUPERCYCLE,40,cluster_2
REGULAR,WOMEN'S,BLUE,NORCO,683,cluster_38
REGULAR,UNISEX,BLUE,CCM,300,cluster_6
HYBRID,MEN'S,BLACK,TREK,510,cluster_17
HYBRID,WOMEN'S,SILK,TREK,800,cluster_21
HYBRID,MEN'S,SILK,GIANT,1000,cluster_30
HYBRID,MEN'S,GRAY,GIANT,800,cluster_12
HYBRID,MEN'S,SILK,MARIN,1600,cluster_39
HYBRID,UNISEX,GRAY,ECLIPSE,2000,cluster_10
REGULAR,UNISEX,BLACK,FELT,3000,cluster_10
MOUNTAIN,MEN'S,BLACK,FS,800,cluster_37
MOUNTAIN,MEN'S,BLUE,SUPERCYCLE,800,cluster_7
MOUNTAIN,UNISEX,TURQUOISE,ROAD COUNTRY,500,cluster_2
MOUNTAIN,MEN'S,BLACK,RALEIGH,800,cluster_37
HYBRID,MEN'S,BLACK,GARY FISHER,600,cluster_31
MOUNTAIN,MEN'S,GRAY,MINELLI,227,cluster_12
MOUNTAIN,MEN'S,GRAY,MONGOOSE,420,cluster_12
HYBRID,MEN'S,GREEN,GARY FISHER,500,cluster_30
REGULAR,MEN'S,GREEN,MINELLI,496,cluster_29
TOURING,WOMEN'S,BLUE,UNKNOWN,300,cluster_18
HYBRID,MEN'S,GREEN,ECLIPSE,800,cluster_30
MOUNTAIN,MEN'S,RED,RALEIGH,180,cluster_8
MOUNTAIN,UNISEX,BLUE,UNKNOWN,60,cluster_2
MOUNTAIN,MEN'S,BLUE,CCM,400,cluster_7
MOUNTAIN,UNISEX,RED,UNKNOWN,60,cluster_2
MOUNTAIN,MEN'S,SILK,CCM,600,cluster_8
MOUNTAIN,MEN'S,BLACK,FOCUS,4000,cluster_9
HYBRID,MEN'S,BLACK,GIANT,600,cluster_17
MOUNTAIN,MEN'S,BLUE,UNKNOWN,800,cluster_7
HYBRID,MEN'S,BLACK,G.T.,678,cluster_31
HYBRID,MEN'S,SILK,GIANT,600,cluster_30
MOUNTAIN,MEN'S,WHITE,NAKAMURA,350,cluster_28
TOURING,MEN'S,BLACK,GIANT,300,cluster_5
MOUNTAIN,MEN'S,WHITE,SPECIALIZED,800,cluster_28
OTHER,MEN'S,RED,KHS FLITE,1100,cluster_5
OTHER,MEN'S,BLACK,TREK,1500,cluster_5
MOUNTAIN,WOMEN'S,BLACK,SPECIALIZED,3000,cluster_36
OTHER,WOMEN'S,GRAY,TREK,700,cluster_15
MOUNTAIN,MEN'S,RED,LEADER,80,cluster_8
HYBRID,UNISEX,BLACK,DEVINCI,800,cluster_25
HYBRID,UNISEX,BLACK,DEVINCI,800,cluster_25
REGULAR,UNISEX,BLUE,OBSCURE CDN. BR,100,cluster_6
MOUNTAIN,UNISEX,GREEN,CCM,100,cluster_23
MOUNTAIN,MEN'S,GREEN,NORCO,2000,cluster_14
HYBRID,WOMEN'S,RED,SPECIALIZED,800,cluster_21
REGULAR,WOMEN'S,WHITE,N/A,500,cluster_38
MOUNTAIN,MEN'S,BLACK,KONA,1000,cluster_37
MOUNTAIN,MEN'S,WHITE,SPECIALIZED,500,cluster_28
RACER,MEN'S,BLACK,CENTURIAN,200,cluster_16
TOURING,MEN'S,BEIGE,MIELE,300,cluster_22
HYBRID,MEN'S,BLACK,MOUNTAIN EQUIPM,700,cluster_31
TOURING,MEN'S,BLACK,MEC,1800,cluster_39
REGULAR,WOMEN'S,WHITE,TELLURIDE,50,cluster_38
HYBRID,MEN'S,BROWN,RALEIGH,150,cluster_30
MOUNTAIN,UNISEX,BEIGE,UNKNOWN,800,cluster_2
REGULAR,WOMEN'S,SILK,SPECIALIZED,500,cluster_38
HYBRID,WOMEN'S,TURQUOISE,UNKNOWN,800,cluster_21
HYBRID,MEN'S,BLACK,GIANT,1200,cluster_17
RACER,MEN'S,BLACK,CERVELLO,8000,cluster_1
MOUNTAIN,MEN'S,BLACK,UNKNOWN,800,cluster_37
MOUNTAIN,MEN'S,WHITE,DEVINCI,1100,cluster_28
MOUNTAIN,MEN'S,BLUE,G.T.,3500,cluster_9
MOUNTAIN,MEN'S,GRAY,SUPE,300,cluster_12
TOURING,WOMEN'S,RED,RALEIGH,300,cluster_18
REGULAR,MEN'S,SILK,SPECIALIZED,300,cluster_29
HYBRID,UNISEX,GRAY,OPUS,1500,cluster_25
MOUNTAIN,MEN'S,BLACK,MONGOOSE,350,cluster_37
HYBRID,WOMEN'S,BLACK,LOUIS GARNEAU,750,cluster_0
REGULAR,WOMEN'S,WHITE,JAMIS,600,cluster_38
MOUNTAIN,MEN'S,BLACK,CCM,550,cluster_37
HYBRID,MEN'S,BLACK,BIANCHI,160,cluster_31
REGULAR,MEN'S,BLACK,KHS,200,cluster_24
MOUNTAIN,WOMEN'S,BLACK,TOMMASO,500,cluster_11
MOUNTAIN,MEN'S,BLUE,UNKNOWN,50,cluster_7
MOUNTAIN,UNISEX,WHITE,GT,50,cluster_2
MOUNTAIN,MEN'S,BLACK,N/A,100,cluster_37
MOUNTAIN,MEN'S,BLACK,CCM,800,cluster_37
MOUNTAIN,MEN'S,BLUE,GIANT,700,cluster_7
REGULAR,WOMEN'S,GREEN,CANNONDALE,1600,cluster_34
HYBRID,WOMEN'S,TURQUOISE,RALEIGH,200,cluster_21
MOUNTAIN,MEN'S,BLACK,SPECIALIZED,800,cluster_37
MOUNTAIN,MEN'S,RED,G.T.,800,cluster_8
REGULAR,UNISEX,ORANGE,SUPERCYCLE,200,cluster_6
MOUNTAIN,MEN'S,BLACK,N/A,300,cluster_37
MOUNTAIN,MEN'S,BLACK,SCOTT,3000,cluster_9
HYBRID,MEN'S,GRAY,GIANT,400,cluster_12
REGULAR,MEN'S,ORANGE,NITRO XT,195,cluster_29
MOUNTAIN,MEN'S,WHITE,COMMENCAL,1000,cluster_28
MOUNTAIN,UNISEX,BLACK,TREK,200,cluster_13
HYBRID,UNISEX,GRAY,TREK,850,cluster_25
REGULAR,UNISEX,GREEN,ROCKY MOUNTAIN,150,cluster_6
BMX,UNISEX,PURPLE,KINK,500,cluster_26
MOUNTAIN,MEN'S,BLUE,UNKNOWN,800,cluster_7
MOUNTAIN,MEN'S,ORANGE,LAPIERRE,5400,cluster_33
HYBRID,MEN'S,BLACK,NORHROCK,600,cluster_31
HYBRID,MEN'S,BLACK,GIANT,700,cluster_17
HYBRID,MEN'S,GRAY,REGAL BICYCLES,440,cluster_12
HYBRID,MEN'S,GRAY,GARY FISHER,900,cluster_12
MOUNTAIN,MEN'S,BLUE,YEPER,168,cluster_7
HYBRID,MEN'S,ORANGE,GARY FISHER,500,cluster_30
MOUNTAIN,MEN'S,ORANGE,GT HELION ELITE,2300,cluster_14
MOUNTAIN,MEN'S,BLACK,TRK,500,cluster_37
RACER,MEN'S,BLACK,EURO BIKE,500,cluster_16
HYBRID,WOMEN'S,BLUE,CCM,500,cluster_21
HYBRID,MEN'S,BLUE,RALEIGH,450,cluster_35
HYBRID,WOMEN'S,GRAY,KVS,400,cluster_21
REGULAR,WOMEN'S,GRAY,DAVINCI,1200,cluster_38
HYBRID,MEN'S,GRAY,ECLIPSE,900,cluster_12
HYBRID,MEN'S,GRAY,GIANT,679,cluster_12
HYBRID,MEN'S,BLUE,UNKNOWN,100,cluster_35
REGULAR,WOMEN'S,WHITE,FUJI,800,cluster_38
HYBRID,UNISEX,BLACK,CORSO,900,cluster_25
HYBRID,MEN'S,BLACK,SPECIALIZED,300,cluster_31
REGULAR,MEN'S,BLUE,SUPERCYCLE,250,cluster_29
HYBRID,MEN'S,BLUE,GIANT,1000,cluster_35
MOUNTAIN,MEN'S,GRAY,GARY FISHER,300,cluster_12
REGULAR,MEN'S,GRAY,NORCO YORKVILLE,500,cluster_29
OTHER,WOMEN'S,GRAY,GIANT,700,cluster_15
HYBRID,MEN'S,GRAY,NORTHROCK,450,cluster_12
OTHER,MEN'S,RED,STEVE BAUER,250,cluster_5
MOUNTAIN,MEN'S,SILK,ROCKY MOUNTAIN,550,cluster_8
REGULAR,WOMEN'S,TURQUOISE,TREK,600,cluster_38
MOUNTAIN,UNISEX,BLACK,CANNONDALE,500,cluster_13
HYBRID,MEN'S,BLACK,ECLIPSE,1000,cluster_17
HYBRID,UNISEX,BLACK,N/A,30,cluster_25
REGULAR,WOMEN'S,BLUE,RALEIGH,537,cluster_38
OTHER,MEN'S,BLACK,NA,100,cluster_5
HYBRID,MEN'S,BLACK,OPUS,750,cluster_31
RACER,MEN'S,GREEN,SIKENE,1500,cluster_39
HYBRID,MEN'S,BLACK,TREK,1200,cluster_17
HYBRID,UNISEX,BLACK,CANNONDALE,850,cluster_25
MOUNTAIN,UNISEX,BLACK,N/A,700,cluster_13
HYBRID,MEN'S,BLUE,NAKAMURA,300,cluster_35
OTHER,MEN'S,GRAY,GIANT,650,cluster_12
TOURING,WOMEN'S,TURQUOISE,SPECIALIZED,1200,cluster_18
OTHER,MEN'S,BEIGE,CANONDALE,2300,cluster_39
HYBRID,UNISEX,BLACK,SEVEN PEAKS,800,cluster_25
HYBRID,MEN'S,BLACK,TREX,1000,cluster_17
OTHER,UNISEX,PURPLE,RALEIGH,250,cluster_32
REGULAR,UNISEX,GRAY,LOUIS GARNEAU,600,cluster_6
HYBRID,MEN'S,PURPLE,PEUGEOT,610,cluster_30
HYBRID,MEN'S,BLACK,TREK,570,cluster_17
REGULAR,MEN'S,RED,OPUS,1500,cluster_39
MOUNTAIN,MEN'S,BLACK,CCM,400,cluster_37
HYBRID,MEN'S,RED,KHS,800,cluster_30
MOUNTAIN,MEN'S,WHITE,GIAN,800,cluster_28
RACER,MEN'S,BLACK,GB,400,cluster_16
MOUNTAIN,MEN'S,BLACK,CANNONDALE,1000,cluster_37
OTHER,WOMEN'S,WHITE,UNKNOWN,200,cluster_15
MOUNTAIN,MEN'S,BLACK,GIANT,1050,cluster_37
MOUNTAIN,MEN'S,BLACK,TREK,1000,cluster_37
TOURING,MEN'S,GREEN,SPECIALIZED,3000,cluster_36
MOUNTAIN,MEN'S,BEIGE,SPECIALIZED,600,cluster_8
REGULAR,MEN'S,BLACK,KONA,700,cluster_24
MOUNTAIN,MEN'S,BLACK,SCOTT,800,cluster_37
REGULAR,MEN'S,BLACK,GIANT,400,cluster_24
HYBRID,WOMEN'S,BLACK,LIV,770,cluster_0
HYBRID,WOMEN'S,PURPLE,RALEIGH,500,cluster_21
MOUNTAIN,UNISEX,WHITE,ROCKY MOUNTAIN,600,cluster_2
HYBRID,MEN'S,BLACK,NORCO,700,cluster_31
RACER,MEN'S,WHITE,RALEIGH,150,cluster_16
MOUNTAIN,UNISEX,WHITE,CCM,300,cluster_2
HYBRID,UNISEX,BLUE,MOMENTUM,500,cluster_25
MOUNTAIN,MEN'S,YELLOW,CCM,300,cluster_8
REGULAR,CHILD'S,YELLOW,LINUS,600,cluster_29
HYBRID,WOMEN'S,BLUE,NORCO,800,cluster_21
TOURING,WOMEN'S,WHITE,SPEC,759,cluster_18
RACER,MEN'S,WHITE,STEVENS,5699,cluster_33
MOUNTAIN,UNISEX,BLUE,SPORTEK,200,cluster_2
HYBRID,WOMEN'S,SILK,SPECIALIZED,2000,cluster_34
MOUNTAIN,UNISEX,BLACK,UNKNOWN,280,cluster_13
MOUNTAIN,UNISEX,BLACK,DIADORA /CCM,1000,cluster_13
HYBRID,MEN'S,GRAY,GT,899,cluster_12
REGULAR,UNISEX,GRAY,GIANT,850,cluster_6
MOUNTAIN,UNISEX,RED,N/A,100,cluster_2
MOUNTAIN,MEN'S,BLUE,KONA,800,cluster_7
HYBRID,MEN'S,BLUE,MARIN,1000,cluster_35
MOUNTAIN,UNISEX,GREEN,CCM,500,cluster_23
MOUNTAIN,MEN'S,RED,DEVINCI,650,cluster_8
HYBRID,UNISEX,SILK,KONA,500,cluster_25
MOUNTAIN,WOMEN'S,WHITE,SCHWINN,200,cluster_28
MOUNTAIN,MEN'S,WHITE,TREK,800,cluster_28
MOUNTAIN,UNISEX,GRAY,TREK,960,cluster_2
REGULAR,UNISEX,RED,COLUMBIA,200,cluster_6
HYBRID,MEN'S,TURQUOISE,NORC,250,cluster_30
HYBRID,MEN'S,BLACK,APOL,500,cluster_31
MOUNTAIN,UNISEX,BLACK,TREK,580,cluster_13
REGULAR,CHILD'S,BLACK,UNKNOWN,300,cluster_24
HYBRID,WOMEN'S,BLACK,MONACO,1100,cluster_0
HYBRID,UNISEX,YELLOW,OPUS,1630,cluster_10
MOUNTAIN,MEN'S,ORANGE,ROCKY MOUNTAIN,1250,cluster_14
RACER,MEN'S,BLACK,SPECIALIZED,900,cluster_16
RACER,MEN'S,BLACK,GIANT BICYCLES,800,cluster_16
MOUNTAIN,UNISEX,BLACK,GT,200,cluster_13
MOUNTAIN,MEN'S,BLACK,TREK,700,cluster_37
BMX,UNISEX,BLACK,UNKNOWN,650,cluster_26
MOUNTAIN,MEN'S,GREEN,N/A,600,cluster_8
BMX,UNISEX,YELLOW,KUSH,650,cluster_26
MOUNTAIN,MEN'S,BLUE,KONA,1800,cluster_14
MOUNTAIN,MEN'S,ORANGE,BTWIN,1000,cluster_8
TOURING,WOMEN'S,BEIGE,DEVINCI ZURICH,500,cluster_18
HYBRID,MEN'S,BLACK,BLACK GT,550,cluster_31
HYBRID,UNISEX,BLACK,DEVINCI,1200,cluster_25
HYBRID,WOMEN'S,BLUE,N/A,200,cluster_21
MOUNTAIN,MEN'S,BLUE,NORC,1200,cluster_7
HYBRID,UNISEX,BLUE,MARIN,700,cluster_25
HYBRID,UNISEX,PURPLE,CANNONALE,1000,cluster_25
MOUNTAIN,MEN'S,RED,TREK,600,cluster_8
MOUNTAIN,MEN'S,YELLOW,SPECIALIZED,1000,cluster_8
TOURING,MEN'S,WHITE,CCM,400,cluster_3
MOUNTAIN,WOMEN'S,BLUE,TREK,800,cluster_11
MOUNTAIN,WOMEN'S,BLUE,RALE,500,cluster_11
RACER,MEN'S,YELLOW,CANNONDALE,1600,cluster_39
HYBRID,WOMEN'S,GRAY,GIANT,500,cluster_21
HYBRID,MEN'S,WHITE,TREK,800,cluster_3
MOUNTAIN,CHILD'S,RED,TREK,250,cluster_20
TOURING,MEN'S,BLUE,DEVINCI,300,cluster_22
MOUNTAIN,MEN'S,BLACK,ROCKY MOUNTAIN,900,cluster_37
HYBRID,MEN'S,BLACK,GIANT,1000,cluster_17
REGULAR,WOMEN'S,GREEN,CCM,140,cluster_38
MOUNTAIN,MEN'S,BLACK,SPOR,1500,cluster_14
MOUNTAIN,MEN'S,BLUE,CANNONDALE,1000,cluster_7
HYBRID,UNISEX,GRAY,NORTHROCK,400,cluster_25
REGULAR,UNISEX,GREEN,NORCO,300,cluster_6
MOUNTAIN,UNISEX,GREEN,SPEC,1500,cluster_23
MOUNTAIN,MEN'S,PURPLE,SCOTT,150,cluster_8
HYBRID,WOMEN'S,BLUE,LIV,1500,cluster_21
REGULAR,UNISEX,ORANGE,CCM,300,cluster_6
TOURING,WOMEN'S,WHITE,LIV,2500,cluster_36
MOUNTAIN,WOMEN'S,WHITE,GIANT,500,cluster_28
TOURING,UNISEX,WHITE,BIANCHI,350,cluster_32
MOUNTAIN,WOMEN'S,BLACK,GIANT,1200,cluster_11
HYBRID,WOMEN'S,BLACK,LIV,1000,cluster_0
TOURING,WOMEN'S,BLACK,DAVINCI,600,cluster_18
MOUNTAIN,MEN'S,BLUE,GT,450,cluster_7
MOUNTAIN,WOMEN'S,PURPLE,LEADER,100,cluster_11
HYBRID,MEN'S,RED,SCHWINN,125,cluster_30
OTHER,WOMEN'S,WHITE,GARY,1500,cluster_15
HYBRID,MEN'S,BLACK,APOLLO,900,cluster_17
HYBRID,MEN'S,BLACK,GIANT,580,cluster_17
REGULAR,UNISEX,GRAY,UNKNOWN,100,cluster_6
MOUNTAIN,MEN'S,GREEN,RALEIGH,900,cluster_8
REGULAR,MEN'S,SILK,SPEC,1500,cluster_39
HYBRID,MEN'S,BLUE,OPUS,450,cluster_35
TOURING,MEN'S,BLACK,RALEIGH,1600,cluster_39
HYBRID,MEN'S,BLACK,TREK,900,cluster_17
MOUNTAIN,MEN'S,BLACK,NORTHBROOK,500,cluster_37
REGULAR,WOMEN'S,PURPLE,AZALEA,300,cluster_38
HYBRID,MEN'S,BLUE,CUBE,5000,cluster_33
HYBRID,WOMEN'S,SILK,GIANT,200,cluster_21
MOUNTAIN,UNISEX,YELLOW,GIANT,800,cluster_2
REGULAR,MEN'S,BLACK,N/A,250,cluster_24
MOUNTAIN,MEN'S,BLACK,TREK,800,cluster_37
MOUNTAIN,MEN'S,BLUE,SARACEN,800,cluster_7
MOUNTAIN,WOMEN'S,BLUE,SCOTT,1000,cluster_11
REGULAR,WOMEN'S,RED,KUNSTADT,300,cluster_38
HYBRID,WOMEN'S,SILK,KHS,400,cluster_21
HYBRID,MEN'S,SILK,KONA,1000,cluster_30
HYBRID,MEN'S,BLUE,GIAN,1200,cluster_35
HYBRID,WOMEN'S,BLUE,UNKNOWN,350,cluster_21
TOURING,UNISEX,WHITE,DEVINCI,300,cluster_32
HYBRID,MEN'S,BLACK,HILLAN,600,cluster_31
REGULAR,MEN'S,BLACK,KHS,700,cluster_24
RACER,MEN'S,BLACK,TREK,350,cluster_16
OTHER,MEN'S,BLUE,SPECIALIZED,2000,cluster_39
MOUNTAIN,MEN'S,BLUE,RALE,750,cluster_7
MOUNTAIN,MEN'S,GOLDEN,CCM,200,cluster_8
HYBRID,WOMEN'S,PURPLE,GIAN,1200,cluster_21
OTHER,WOMEN'S,TURQUOISE,RALE,900,cluster_15
RACER,UNISEX,WHITE,MIELE,1200,cluster_27
MOUNTAIN,CHILD'S,BLACK,ROCKY MOUNTAIN,1100,cluster_13
HYBRID,MEN'S,BLACK,B-TWIN,740,cluster_31
HYBRID,MEN'S,BROWN,GIANT,100,cluster_30
REGULAR,WOMEN'S,GRAY,CANNONDALE,800,cluster_38
HYBRID,WOMEN'S,BLACK,SPEC,1700,cluster_0
REGULAR,MEN'S,BLUE,CCM,300,cluster_29
OTHER,WOMEN'S,BROWN,GIANT,893,cluster_15
MOUNTAIN,MEN'S,GRAY,NORTHROCK,450,cluster_12
MOUNTAIN,MEN'S,GRAY,CUBE,1000,cluster_12
MOUNTAIN,MEN'S,GRAY,N/A,100,cluster_12
HYBRID,MEN'S,GREEN,CMM,200,cluster_30
HYBRID,WOMEN'S,BLACK,FUJI,800,cluster_0
MOUNTAIN,MEN'S,BLACK,CANNONDALE,800,cluster_37
MOUNTAIN,CHILD'S,BLACK,JAMIS,400,cluster_13
MOUNTAIN,WOMEN'S,BLUE,FELT,1500,cluster_11
MOUNTAIN,UNISEX,BLUE,GIANT,700,cluster_2
HYBRID,MEN'S,GRAY,CTM,200,cluster_12
HYBRID,WOMEN'S,GRAY,GIANT,650,cluster_21
MOUNTAIN,WOMEN'S,GREEN,GIANT,500,cluster_11
OTHER,MEN'S,RED,MARIN,805,cluster_5
TOURING,MEN'S,RED,JAMIS,1200,cluster_22
HYBRID,MEN'S,BLUE,DEVINCI,1000,cluster_35
MOUNTAIN,MEN'S,GRAY,GARY FISHER,350,cluster_12
HYBRID,MEN'S,SILK,SALSA,1300,cluster_30
REGULAR,UNISEX,WHITE,KUNSTADT,250,cluster_6
HYBRID,UNISEX,BLACK,CANNONDALE,1900,cluster_10
HYBRID,MEN'S,GRAY,GIAN,1000,cluster_12
OTHER,UNISEX,GRAY,GT NOMAD,500,cluster_32
MOUNTAIN,MEN'S,GREEN,HYPER,300,cluster_8
