Bicycle_Type,Bicycle_Frame,Bicycle_Color,Bicycle_Make,Bicycle_Value,cluster
TOURING,MEN'S,BLACK,NEVADA,75,cluster_5
MOUNTAIN,MEN'S,BLACK,TREK,900,cluster_37
OTHER,WOMEN'S,GRAY,NORCO STORM,1000,cluster_15
MOUNTAIN,MEN'S,GREEN,KONA,806,cluster_8
MOUNTAIN,UNISEX,BLACK,UNKNOWN,800,cluster_13
HYBRID,WOMEN'S,RED,KONA,600,cluster_21
REGULAR,WOMEN'S,RED,KONA,600,cluster_38
OTHER,MEN'S,RED,RALEIGH MOUNTAI,1000,cluster_5
OTHER,MEN'S,SILK,GIANT,1000,cluster_5
MOUNTAIN,WOMEN'S,WHITE,SPECIALIZED,1400,cluster_28
HYBRID,MEN'S,GRAY,NORCO,250,cluster_12
HYBRID,WOMEN'S,YELLOW,QUINTANA ROO,1500,cluster_21
OTHER,WOMEN'S,YELLOW,QUINTANA ROO,1500,cluster_15
RACER,UNISEX,BLACK,BROOKLYN BIKE C,836.18,cluster_27
RACER,MEN'S,BLACK,GIANT,1216.33,cluster_16
HYBRID,MEN'S,GRAY,TREK,892,cluster_12
HYBRID,WOMEN'S,BLUE,NAKAMURA,200,cluster_21
REGULAR,MEN'S,RED,GT,500,cluster_29
MOUNTAIN,MEN'S,BLACK,GIANT,800,cluster_37
REGULAR,WOMEN'S,BLACK,GIANT,300,cluster_38
MOUNTAIN,MEN'S,BLACK,TREK,1000,cluster_37
HYBRID,MEN'S,BLACK,SUPE,300,cluster_31
HYBRID,MEN'S,GRAY,TREK,7400,cluster_4
MOUNTAIN,MEN'S,BLUE,GIANT,400,cluster_7
HYBRID,MEN'S,GRAY,GIANT,1000,cluster_12
HYBRID,WOMEN'S,BLUE,NORC,900,cluster_21
REGULAR,WOMEN'S,PINK,CARR,200,cluster_38
MOUNTAIN,WOMEN'S,PURPLE,KHS 2018,850,cluster_11
MOUNTAIN,CHILD'S,RED,UNK,25,cluster_20
REGULAR,UNISEX,YELLOW,GIANT,500,cluster_6
OTHER,UNISEX,BLACK,URBAN CRUISER,2300,cluster_10
BMX,WOMEN'S,BROWN,GIANT,250,cluster_26
MOUNTAIN,MEN'S,GRAY,LIV,800,cluster_12
OTHER,UNISEX,RED,SPEC,1500,cluster_32
HYBRID,UNISEX,RED,SPEC,1500,cluster_25
HYBRID,MEN'S,RED,GT,550,cluster_30
MOUNTAIN,MEN'S,RED,IGO,2300,cluster_14
HYBRID,MEN'S,WHITE,SUNDAY,520,cluster_3
OTHER,MEN'S,GRAY,GIANT,700,cluster_12
HYBRID,UNISEX,GRAY,DIAMONDBACK,500,cluster_25
OTHER,MEN'S,GRAY,NORCO,1000,cluster_12
HYBRID,WOMEN'S,RED,DUTCH,750,cluster_21
HYBRID,WOMEN'S,RED,DUTCH,750,cluster_21
OTHER,MEN'S,GRAY,CCM,300,cluster_12
REGULAR,UNISEX,GRAY,MEC,650,cluster_6
OTHER,WOMEN'S,GREEN,LIV ALIGHT 3,372.9,cluster_15
MOUNTAIN,UNISEX,BLACK,MONG,800,cluster_13
MOUNTAIN,MEN'S,BLACK,FIXED WHEEL,400,cluster_37
HYBRID,MEN'S,BLUE,SPECIALIZED,2000,cluster_39
HYBRID,UNISEX,BROWN,NORC,1500,cluster_25
HYBRID,UNISEX,BROWN,NORC,1500,cluster_25
OTHER,MEN'S,GRAY,GIANT,1000,cluster_12
MOUNTAIN,MEN'S,GRAY,TREK,1200,cluster_12
OTHER,MEN'S,BLUE,SUPER CYCLE,500,cluster_22
HYBRID,UNISEX,GRAY,DIAMOND BACK,400,cluster_25
MOUNTAIN,WOMEN'S,WHITE,NORCO,500,cluster_28
OTHER,MEN'S,BLUE,SUPE,262,cluster_22
MOUNTAIN,MEN'S,GRAY,GT,764,cluster_12
MOUNTAIN,MEN'S,GRAY,TREK,600,cluster_12
OTHER,WOMEN'S,RED,RALE,600,cluster_15
RACER,WOMEN'S,RED,TREK,1000,cluster_34
OTHER,MEN'S,BLACK,PUJO,700,cluster_5
MOUNTAIN,WOMEN'S,YELLOW,BTWIN,300,cluster_11
RACER,UNISEX,BLACK,DEVINCI,500,cluster_27
OTHER,MEN'S,BLACK,MURRAY,25,cluster_5
REGULAR,MEN'S,GOLDEN,DAVINCI,1000,cluster_29
REGULAR,UNISEX,GRAY,UNKNOWN,400,cluster_6
HYBRID,UNISEX,GRAY,KONO,800,cluster_25
RACER,UNISEX,GRAY,KONO,800,cluster_27
OTHER,WOMEN'S,PURPLE,LIV,5000,cluster_33
MOUNTAIN,UNISEX,BLACK,GRAND,750,cluster_13
REGULAR,MEN'S,BLACK,CANNONDALE,1500,cluster_24
HYBRID,CHILD'S,BLUE,SUPE,200,cluster_35
REGULAR,CHILD'S,BLUE,SUPE,200,cluster_29
REGULAR,WOMEN'S,GRAY,SPECIALIZED,950,cluster_38
MOUNTAIN,UNISEX,ORANGE,NORCO,800,cluster_2
MOUNTAIN,MEN'S,BLUE,HYPER,900,cluster_7
HYBRID,MEN'S,BLUE,SANTA MONICA,300,cluster_35
MOUNTAIN,WOMEN'S,RED,KESTREL,2000,cluster_34
RACER,WOMEN'S,RED,KESTREL,2000,cluster_34
MOUNTAIN,UNISEX,WHITE,CCM,300,cluster_2
MOUNTAIN,UNISEX,WHITE,CCM,300,cluster_2
HYBRID,UNISEX,WHITE,BIANCHI,600,cluster_25
REGULAR,MEN'S,BLACK,FELT,700,cluster_24
MOUNTAIN,MEN'S,BLACK,B'TWIN,550,cluster_37
REGULAR,MEN'S,BLUE,SE,700,cluster_29
HYBRID,MEN'S,GRAY,SPECIALIZED,300,cluster_12
RACER,MEN'S,GRAY,SPECIALIZED,300,cluster_16
MOUNTAIN,MEN'S,GRAY,SUPERCYCLE,250,cluster_12
MOUNTAIN,MEN'S,GREEN,NORC,800,cluster_8
RACER,UNISEX,GREEN,HYPER,200,cluster_27
MOUNTAIN,CHILD'S,BLACK,MOVELO,120,cluster_13
MOUNTAIN,CHILD'S,BLACK,MOVELO,120,cluster_13
HYBRID,MEN'S,TAN,NISHIKE,150,cluster_30
HYBRID,UNISEX,BLACK,NORCO,700,cluster_25
HYBRID,WOMEN'S,BLUE,GARNEAU,700,cluster_21
HYBRID,MEN'S,RED,GIAN,800,cluster_30
MOUNTAIN,MEN'S,RED,GIAN,800,cluster_8
MOUNTAIN,WOMEN'S,RED,CCM,300,cluster_20
MOUNTAIN,MEN'S,BLACK,TREK,800,cluster_37
MOUNTAIN,MEN'S,BLACK,SUPERCYCLE,200,cluster_37
MOUNTAIN,MEN'S,BLACK,SUPE,280,cluster_37
MOUNTAIN,WOMEN'S,BLACK,FUJI,800,cluster_11
RACER,CHILD'S,BLACK,SCRAMBLER,330,cluster_27
REGULAR,MEN'S,BLUE,KONA,400,cluster_29
REGULAR,MEN'S,BLUE,KONA,400,cluster_29
TOURING,MEN'S,BLUE,TREK,300,cluster_22
REGULAR,MEN'S,BLUE,FUJI,1800,cluster_39
MOUNTAIN,MEN'S,BLUE,FUJI,1800,cluster_14
REGULAR,WOMEN'S,RED,UNKNOWN,600,cluster_38
REGULAR,WOMEN'S,RED,UNKNOWN,600,cluster_38
REGULAR,WOMEN'S,SILK,SCHW,350,cluster_38
HYBRID,WOMEN'S,SILK,SCHW,350,cluster_21
MOUNTAIN,MEN'S,BLACK,CANNONDALE,5500,cluster_33
REGULAR,MEN'S,BLACK,RALEIGH,600,cluster_24
RACER,MEN'S,BLUE,KONA,300,cluster_16
MOUNTAIN,UNISEX,BLUE,EVERYDAY,250,cluster_2
HYBRID,MEN'S,BLACK,SHIMANO,300,cluster_31
MOUNTAIN,UNISEX,GRAY,GIANT,900,cluster_2
REGULAR,WOMEN'S,BLACK,DEVINCI,550,cluster_38
HYBRID,WOMEN'S,BLACK,DEVINCI,550,cluster_0
REGULAR,MEN'S,GREEN,NORTHROCK,400,cluster_29
HYBRID,MEN'S,GREEN,ROCM,2000,cluster_39
REGULAR,WOMEN'S,PINK,UNKNOWN,500,cluster_38
HYBRID,WOMEN'S,WHITE,NORCO,700,cluster_21
MOUNTAIN,CHILD'S,WHITE,DISNEY PRINCESS,100,cluster_28
OTHER,UNISEX,GRAY,KONA,1200,cluster_32
OTHER,CHILD'S,RED,ORBEA,350,cluster_15
OTHER,CHILD'S,RED,ORBEA,350,cluster_15
HYBRID,MEN'S,BLACK,LOUG,1000,cluster_17
HYBRID,MEN'S,BLACK,LOUG,1000,cluster_17
OTHER,MEN'S,BLACK,TREK,800,cluster_5
OTHER,MEN'S,BLACK,TREK,800,cluster_5
OTHER,MEN'S,BLACK,DIAMONDBACK,250,cluster_5
OTHER,WOMEN'S,BLUE,GIANT,1000,cluster_15
MOUNTAIN,MEN'S,BLACK,UNK,800,cluster_37
HYBRID,WOMEN'S,PURPLE,LIV,899,cluster_21
MOUNTAIN,WOMEN'S,SILK,TREK,800,cluster_11
MOUNTAIN,WOMEN'S,SILK,TREK,800,cluster_11
OTHER,WOMEN'S,WHITE,HYPER,250,cluster_15
REGULAR,WOMEN'S,BLACK,GIAN,1000,cluster_38
REGULAR,WOMEN'S,BLACK,GIAN,1000,cluster_38
OTHER,UNISEX,BLACK,NORCO,1035,cluster_32
HYBRID,MEN'S,BLUE,NORCO,700,cluster_35
REGULAR,MEN'S,BLACK,GIAN,2000,cluster_39
HYBRID,MEN'S,BLACK,GIAN,2000,cluster_39
REGULAR,WOMEN'S,PINK,MOVELO,200,cluster_38
MOUNTAIN,MEN'S,WHITE,SUPERCYCLE,200,cluster_28
TOURING,MEN'S,BLACK,SOLARIS,400,cluster_5
REGULAR,MEN'S,BLACK,SOLARIS,400,cluster_24
REGULAR,WOMEN'S,BLUE,TREK,1598,cluster_34
HYBRID,MEN'S,GRAY,PAINTED OVER,900,cluster_12
MOUNTAIN,WOMEN'S,SILK,GIANT,300,cluster_11
REGULAR,WOMEN'S,TURQUOISE,SCHWINN,500,cluster_38
MOUNTAIN,MEN'S,BLUE,NORC,10000,cluster_1
HYBRID,UNISEX,BLUE,GT,600,cluster_25
OTHER,WOMEN'S,GRAY,RALEIGH,1200,cluster_15
MOUNTAIN,WOMEN'S,GRAY,RALEIGH,1200,cluster_11
OTHER,UNISEX,GRAY,GT,800,cluster_32
MOUNTAIN,UNISEX,GRAY,GT,800,cluster_2
MOUNTAIN,UNISEX,GRAY,GT,800,cluster_2
REGULAR,WOMEN'S,PINK,MODELO,108,cluster_38
OTHER,UNISEX,RED,SPEC,2600,cluster_10
MOUNTAIN,UNISEX,RED,SPEC,2600,cluster_10
OTHER,MEN'S,BLACK,HYPER,1500,cluster_5
HYBRID,MEN'S,BLACK,DAVINCI,3500,cluster_9
HYBRID,MEN'S,BLUE,GIANT,1275.49,cluster_35
HYBRID,MEN'S,BLUE,GIANT,1275.49,cluster_35
MOUNTAIN,MEN'S,GRAY,TREK,380,cluster_12
MOUNTAIN,WOMEN'S,GRAY,NORCO,500,cluster_11
HYBRID,WOMEN'S,GRAY,CANNONDALE,1300,cluster_21
HYBRID,WOMEN'S,GRAY,CANNONDALE,1300,cluster_21
REGULAR,WOMEN'S,GRAY,NORCO,560,cluster_38
MOUNTAIN,MEN'S,GRAY,CCM,300,cluster_12
HYBRID,WOMEN'S,BLUE,CANNONDALE,1300,cluster_21
MOUNTAIN,WOMEN'S,BLUE,CANNONDALE,1300,cluster_11
REGULAR,UNISEX,ORANGE,KONA,1000,cluster_6
REGULAR,UNISEX,PINK,UNKNOWN,400,cluster_6
MOUNTAIN,MEN'S,PURPLE,DIAMOND BACK,400,cluster_8
HYBRID,MEN'S,RED,UNKNOWN,350,cluster_30
MOUNTAIN,MEN'S,RED,UNKNOWN,350,cluster_8
HYBRID,UNISEX,WHITE,APOL,2745,cluster_10
MOUNTAIN,UNISEX,WHITE,APOL,2745,cluster_10
OTHER,CHILD'S,WHITE,DEVINCI,500,cluster_15
MOUNTAIN,CHILD'S,WHITE,DEVINCI,500,cluster_28
OTHER,WOMEN'S,BLACK,GIANT,1000,cluster_15
OTHER,WOMEN'S,BLACK,NUTRA,300,cluster_15
HYBRID,WOMEN'S,BLUE,CANADIAN TIRE,200,cluster_21
MOUNTAIN,MEN'S,GRAY,RAD POWER,800,cluster_12
MOUNTAIN,MEN'S,GRAY,RAD POWER,800,cluster_12
RACER,MEN'S,GRAY,SUPERCYCLE,300,cluster_16
REGULAR,MEN'S,GRAY,KHS,1000,cluster_29
REGULAR,MEN'S,GRAY,TREK,1500,cluster_39
REGULAR,WOMEN'S,ORANGE,GARY,700,cluster_38
OTHER,WOMEN'S,ORANGE,GARY,700,cluster_15
OTHER,WOMEN'S,ORANGE,GARY,700,cluster_15
HYBRID,UNISEX,SILK,BTWIN,400,cluster_25
