X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,string in numeric
-8417421.141,5692669.405,2022,2022/09/18 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,550,NORTHROCK,N/A,HYBRID,MEN'S,GRAY,Tanglewood,September,Found
-8425103.347,5689395.703,2022,2022/09/19 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,100,SUPERCYCLE,N/A,HYBRID,MEN'S,GRAY BLACK,Sandy Hill,September,Found
-8430108.376,5674090.388,2022,2022/08/28 00:00:00+00,Sunday,UNIVERSITIES / COLLEGES,STOLEN,N/A,UNKNOWN,UNKNOWN,MOUNTAIN,MEN'S,GREEN,Vanier North,August,Found
-8423321.86,5691555.865,2022,2022/09/19 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,N/A,NORKO,SCENE 3,MOUNTAIN,WOMEN'S,LIGHT BLUE,Vanier North,September,Found
-8425518.818,5690135.967,2022,2022/09/18 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,900,MOUNTAIN EQUIPM,DESIRE,HYBRID,MEN'S,RED,Hawthorne Meadows - Sheffield Glen,September,Found
-8425611.019,5690305.349,2022,2022/09/18 00:00:00+00,Sunday,PARKING LOTS,STOLEN,500,DECATHLON,B-TWIN,HYBRID,UNISEX,RED,Elmvale - Canterbury,September,Found
-8420228.143,5685535.325,2022,2022/09/18 00:00:00+00,Sunday,PRIVATE PROPERTY STRUCTURE,STOLEN,2100,RAD POWER BIKE,RADCITY STEP TH,HYBRID,WOMEN'S,WHITE,Rothwell Heights - Beacon Hill North,September,Found
-8425073.362,5688882.456,2022,2022/05/16 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,800,UNKNOWN,N/A,RACER,MEN'S,GRAY,Vanier South,May,Found
-8425635.677,5685304.894,2022,2022/09/18 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,2000,SURLY,N/A,HYBRID,MEN'S,BLACK,Glebe - Dows Lake,September,Found
-8424403.486,5688727.171,2022,2022/09/16 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,500,TREK,MARLIN 5 2016,HYBRID,UNISEX,BLACK,Glebe - Dows Lake,September,Found
