X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,string in numeric
-8433022.826,5677294.53,2020,2020/08/10 00:00:00+00,Thursday,PARKING LOTS,STOLEN,250,NISHIKI,BY NORCO,N/A,N/A,BLACK,Cityview - Crestview - Meadowlands,August,Found
-8417747.33,5679674.026,2021,2021/07/20 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,200,NORCO,N/A,MOUNTAIN,MEN'S,BROWN,Sandy Hill,July,Found
-8424165.536,5683988.208,2020,2020/10/30 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,2000,TREK,ELITE CARBON,MOUNTAIN,MEN'S,BLACK,Old Ottawa South,October,Found
-8426087.522,5689607.84,2020,2020/08/13 00:00:00+00,Thursday,DWELLING UNIT,STOLEN,1400,FELT,"FEMALE, 54",RACER,WOMEN'S,BLACK,Byward Market,August,Found
-8427481.821,5686423.471,2020,2020/10/23 00:00:00+00,Friday,"SINGLE HOME, HOUSE",SEIZED,N/A,UNKNOWN,UNKNOWN,MOUNTAIN,UNISEX, WHITE,Centretown,October,Found
-8419267.887,5692180.506,2021,2021/07/24 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,100,GENESIS,ROSE PORT 3.0,HYBRID,WOMEN'S,GRAY,Carson Grove - Carson Meadows,July,Found
-8430034.822,5684620.701,2020,2020/08/13 00:00:00+00,Thursday,DWELLING UNIT,STOLEN,420,NORCO,INDIE 4,HYBRID,MEN'S,BLACK,Hintonburg - Mechanicsville,August,Found
-8433327.262,5683149.644,2020,2020/10/25 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,N/A,RIDLEY,X-TRAIL A60,HYBRID,UNISEX,RED,Laurentian,October,Found
-8427674.876,5686894.853,2020,2020/07/31 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,RECOVERED,570,GENESIS,TRAFIK 5.0,REGULAR,MEN'S,BLACK,Centretown,July,Found
-8423751.204,5682145.915,2021,2021/07/22 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1000,SUTTON,LX20,MOUNTAIN,MEN'S,SILK PURPLE,Hunt Club Park,July,Found
-8424757.824,5689598.176,2020,2019/09/30 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,N/A,KATO,GHOST,MOUNTAIN,MEN'S,BLACK,Lowertown,September,Found
-8430034.822,5684620.701,2020,2020/08/13 00:00:00+00,Thursday,DWELLING UNIT,STOLEN,800,BRODIE,BOLT,HYBRID,UNISEX,BLACK,Vanier North,August,Found
-8428399.226,5666958.749,2021,2021/07/22 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,N/A,TREK,N/A,OTHER,WOMEN'S, LIGHT BLUE,Centretown,July,Found
-8428221.188,5686149.67,2020,2020/10/27 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,550,MARIN,FAIRFAX SC (SMA,REGULAR,WOMEN'S,BLACK,West Centretown,October,Found
-8430709.402,5685307.699,2020,2020/08/10 00:00:00+00,Thursday,TRANSIT BUS / BUS SHELTER,STOLEN,40,NORCO,N/A,MOUNTAIN,MEN'S,BLUE,Hintonburg - Mechanicsville,August,Found
-8426833.294,5687091.031,2021,2021/07/21 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,500,NORCO,VRF 5,RACER,MEN'S, ORANGE,Old Ottawa East,July,Found
-8425038.929,5684890.705,2020,2020/10/28 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,1500,N/A,N/A,HYBRID,MEN'S,BLACK,Glebe - Dows Lake,October,Found
-8433022.826,5677294.53,2020,2020/08/10 00:00:00+00,Thursday,PARKING LOTS,STOLEN,441,CCM,"27.5"" DS650 DUA",MOUNTAIN,UNISEX,GRAY,Old Ottawa East,August,Found
-8426833.294,5687091.031,2021,2021/07/21 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,400,NORTHROCK,XC29,MOUNTAIN,MEN'S,BLACK,Rideau Crest - Davidson Heights,July,Found
-8420296.085,5683293.431,2020,2020/10/18 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,800,TREK,MARLIN 6,MOUNTAIN,MEN'S,RED,Playfair Park - Lynda Park - Guildwood Estates,October,Found
-8423274.601,5691149.366,2020,2020/08/05 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,N/A,MONGOOSE,N/A,MOUNTAIN,UNISEX,GREEN,Cityview - Crestview - Meadowlands,August,Found
-8423817.007,5687099.883,2021,2021/07/01 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,400,NORTHROCK,N/A,MOUNTAIN,WOMEN'S,BLACK PINK,Rideau Crest - Davidson Heights,July,Found
-8426412.173,5684583.677,2020,2020/10/25 00:00:00+00,Monday,PRIVATE PROPERTY STRUCTURE,STOLEN,N/A,SPECIALIZED,CAMBER ELITE,MOUNTAIN,WOMEN'S, WHITE,Old Ottawa East,October,Found
-8426087.522,5689607.84,2020,2020/08/13 00:00:00+00,Thursday,DWELLING UNIT,STOLEN,800,INDIE,INDIE 2,HYBRID,MEN'S,MAROON,Hintonburg - Mechanicsville,August,Found
-8423817.007,5687099.883,2021,2021/07/22 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,400,CCM,N/A,OTHER,MEN'S,BLACK RED,Old Ottawa East,July,Found
-8424363.669,5685254.71,2020,2020/10/21 00:00:00+00,Monday,PRIVATE PROPERTY STRUCTURE,STOLEN,N/A,UNKNOWN,UNKNOWN,MOUNTAIN,MEN'S,BLUE,Glebe - Dows Lake,October,Found
-8423817.007,5687099.883,2020,2020/08/01 00:00:00+00,Thursday,PARKING LOTS,STOLEN,100,MOVELO,ALGONQUIN 26'',MOUNTAIN,WOMEN'S,PURPLE,Byward Market,August,Found
-8423817.007,5687099.883,2021,2021/07/01 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,460,GIAN,N/A,MOUNTAIN,MEN'S,GRAY,Old Ottawa East,July,Found
-8433327.262,5683149.644,2020,2020/10/25 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,700,LIV,ALIGHT CITY,HYBRID,CHILD'S,BLUE,Glebe - Dows Lake,October,Found
-8432834.73,5683371.875,2020,2020/08/08 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1100,GIANT,ESCAPE 1,HYBRID,UNISEX, WHITE,Laurentian,August,Found
-8421231.181,5680789.269,2021,2021/07/23 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,10814,TRIMBLE,TIME TRIAL,OTHER,MEN'S,OTHER,Centretown,July,Found
-8429322.9,5685311.474,2020,2020/10/23 00:00:00+00,Monday,PRIVATE PROPERTY STRUCTURE,RECOVERED,N/A,DEVINCI,SHICANE,REGULAR,MEN'S,BLUE WHITE,Glebe - Dows Lake,October,Found
-8424879.113,5688096.759,2020,2020/08/12 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,STOLEN,200,HYPER,VIKING TRAIL 29,MOUNTAIN,MEN'S,BLACK,Glebe - Dows Lake,August,Found
-8428399.226,5666958.749,2021,2021/07/22 00:00:00+00,Friday,"SINGLE HOME, HOUSE",RECOVERED,N/A,TREK,N/A,OTHER,WOMEN'S,PINK,Ledbury - Heron Gate - Ridgemont,July,Found
-8426412.173,5684583.677,2020,2020/10/25 00:00:00+00,Monday,PRIVATE PROPERTY STRUCTURE,STOLEN,1500,MARIN,ATTACK TRAIL 7,MOUNTAIN,MEN'S,GRAY,Glebe - Dows Lake,October,Found
-8432834.73,5683371.875,2020,2020/08/08 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,150,INFINITY,INTRIGUE,REGULAR,MEN'S,GRAY,Centretown,August,Found
-8422837.541,5686090.853,2021,2021/07/21 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,400,CCM,SF SECTOR,MOUNTAIN,WOMEN'S, LIGHT BLUE,Riverview,July,Found
-8426412.173,5684583.677,2020,2020/10/25 00:00:00+00,Monday,PRIVATE PROPERTY STRUCTURE,STOLEN,1000,ROCKY MOUNTAIN,ELEMENT 10 XC,MOUNTAIN,MEN'S,GRAY,Laurentian,October,Found
-8425464.938,5684868.832,2020,2020/08/10 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,650,KUNDSTADT,ROCKCLIFFE,HYBRID,MEN'S,GRAY,Sandy Hill,August,Found
-8429723.974,5684563.491,2021,2021/07/19 00:00:00+00,Wednesday,PARKING LOTS,STOLEN,400,NORTHROCK,N/A,REGULAR,UNISEX, WHITE,Centretown,July,Found
-8426412.173,5684583.677,2020,2020/10/25 00:00:00+00,Monday,PRIVATE PROPERTY STRUCTURE,STOLEN,N/A,HECTIC,DEVINCI 1,MOUNTAIN,WOMEN'S,GRAY,Laurentian,October,Found
-8426901.994,5685949.688,2020,2020/04/12 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,500,KONA,UTE,OTHER,MEN'S,GRAY,Laurentian,April,Found
-8424894.498,5692982.051,2021,2021/07/21 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,N/A,ELSWORTH,N/A,MOUNTAIN,MEN'S,BLACK,Sandy Hill,July,Found
-8433327.262,5683149.644,2020,2020/10/09 00:00:00+00,Monday,COMMERCIAL DWELLING UNIT,RECOVERED,1400,MEC,GHOST BIKE,HYBRID,UNISEX,GREEN,Laurentian,October,Found
-8425876.655,5687651.779,2020,2020/08/10 00:00:00+00,Tuesday,OPEN AREAS,STOLEN,1000,OPUS,ORPHEUS 5,HYBRID,WOMEN'S, WHITE,Laurentian,August,Found
-8431337.532,5679047.363,2021,2021/07/20 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,200,RALEIGH,TORA,MOUNTAIN,MEN'S,BLACK,Rockcliffe Park,July,Found
-8426087.522,5689607.84,2020,2020/06/05 00:00:00+00,Tuesday,COMMERCIAL DWELLING UNIT,STOLEN,1200,TREK,N/A,HYBRID,MEN'S, WHITE,Laurentian,June,Found
-8424363.669,5685254.71,2020,2020/10/21 00:00:00+00,Monday,PRIVATE PROPERTY STRUCTURE,STOLEN,N/A,KONA,LAVADONE,MOUNTAIN,WOMEN'S,GREEN,Vanier North,October,Found
-8426833.294,5687091.031,2021,2021/07/21 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",FOUND,N/A,CHEROKEE,KOMODO,MOUNTAIN,UNISEX,BLACK RED,Centretown,July,Found
-8425597.637,5687674.646,2020,2020/07/10 00:00:00+00,Tuesday,CHURCH/SYNAGOGUE/TEMPLE/MOSQUE/RELIGIOUS INSTITUTION,STOLEN,1000,TREK,FX 2016,TOURING,MEN'S,BLACK,Laurentian,July,Found
,,,,,,,,,,,,,,,
-8425527.919,5679902.331,2021,2021/07/19 00:00:00+00,Wednesday,PARKING LOTS,STOLEN,300,CCM,N/A,BMX,UNISEX,BLACK YELLOW,Riverside Park,July,Found
-8425889.21,5686682.945,2020,2020/08/10 00:00:00+00,Tuesday,"STREETS, ROADS, HIGHWAYS",STOLEN,150,GIANT,EDDIE BAUER,HYBRID,MEN'S,DARK GREEN,Centretown,August,Found
-8433327.262,5683149.644,2020,2020/10/25 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,3500,CANNONDALE,SYNAPE,BMX,UNISEX,OTHER,Richmond,October,Found
-8426833.294,5687091.031,2021,2021/07/21 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,1000,TREK,7200,MOUNTAIN,WOMEN'S,BLUE,Sandy Hill,July,Found
-8434547.301,5680098.61,2020,2020/08/10 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,80,NEXT,N/A,REGULAR,UNISEX,GRAY,Sandy Hill,August,Found
-8441449.068,5651791.785,2020,2020/10/23 00:00:00+00,Monday,PRIVATE PROPERTY STRUCTURE,STOLEN,400,UNKNOWN,N/A,OTHER,MEN'S,RED,Laurentian,October,Found
-8424035.914,5689893.842,2021,2021/07/20 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,376,ADVENTURE,13,MOUNTAIN,MEN'S,BLUE,Hintonburg - Mechanicsville,July,Found
-8425889.21,5686682.945,2020,2020/08/10 00:00:00+00,Tuesday,"STREETS, ROADS, HIGHWAYS",STOLEN,800,SPECIALIZED,2014 SECTEUR EL,RACER,MEN'S,GRAY,Laurentian,August,Found
-8423897.244,5690791.765,2020,2020/10/23 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,3000,TREK,MADONE,OTHER,MEN'S,SILK,Old Ottawa East,October,Found
,,,,,,,,,,,,,,,
-8424532.329,5689206.645,2020,2020/08/08 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,500,RALEIGH,MISCEO,HYBRID,MEN'S,GRAY,Centretown,August,Found
-8432454.518,5683438.224,2020,2020/10/24 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",RECOVERED,N/A,TREK,DUO SPORT 8.3,REGULAR,MEN'S,LIGHT GREEN BLACK,Westboro,October,Found
-8428308.409,5685663.974,2021,2021/07/20 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",RECOVERED,780,BELIZE,TRIRIDER TRICYC,TRICYCLE,UNISEX,RED,Civic Hospital-Central Park,July,Found
-8426123.955,5688676.619,2020,2020/08/09 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,3100,GIANT,ANTHEM 1 SLX 20,MOUNTAIN,MEN'S,GREEN,Centretown,August,Found
-8417144.127,5689602.35,2020,2020/10/23 00:00:00+00,Sunday,TRANSIT BUS / BUS SHELTER,STOLEN,1000,SPECIALISED,N/A,MOUNTAIN,MEN'S,YELLOW,Carson Grove - Carson Meadows,October,Found
-8434547.301,5680098.61,2020,2020/08/10 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,80,NEXT,N/A,REGULAR,UNISEX,PURPLE,Centretown,August,Found
-8424739.379,5690252.227,2020,2020/10/19 00:00:00+00,Saturday,OTHER NON COMMERCIAL/CORPORATE PLACES/ GOVT BLDG,STOLEN,250,SCHWINN,S4009C,MOUNTAIN,WOMEN'S, LIGHT BLUE,Sandy Hill,October,Found
-8448741.483,5669406.179,2021,2021/07/19 00:00:00+00,Tuesday,DWELLING UNIT,STOLEN,620,CCM,29ER MOUNTAIN B,MOUNTAIN,MEN'S, ORANGE,Katimavik - Hazeldean,July,Found
-8434547.301,5680098.61,2020,2020/08/10 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,140,UNKNOWN,N/A,REGULAR,UNISEX,RED,Byward Market,August,Found
-8422984.65,5685206.211,2020,2020/10/23 00:00:00+00,Saturday,"STREETS, ROADS, HIGHWAYS",STOLEN,650,RALEIGH,MISCEO,REGULAR,UNISEX,BLACK,Riverview,October,Found
-8450444.97,5670537.726,2021,2021/07/15 00:00:00+00,Tuesday,PARKING LOTS,STOLEN,900,LIV,ROVE,HYBRID,WOMEN'S,BLUE,Convent Glen - Orléans Woods,July,Found
-8434547.301,5680098.61,2020,2020/08/10 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,N/A,STEEL,N/A,MOUNTAIN,UNISEX,SILK,Sandy Hill,August,Found
-8425440.091,5689053.181,2020,2020/10/09 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,RECOVERED,N/A,RALEIGH,CADENT 3,HYBRID,MEN'S,BLUEGREEN,Centretown,October,Found
-8406671.056,5697511.298,2021,2021/07/20 00:00:00+00,Tuesday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,STOLEN,500,JAMIS,TRAIL X2 FEMME,MOUNTAIN,WOMEN'S,PURPLE,Kanata Lakes - Arcardia,July,Found
-8424147.421,5689229.769,2020,2020/06/21 00:00:00+00,Monday,PARKING LOTS,STOLEN,300,CCM,N/A,HYBRID,WOMEN'S, WHITE,Sandy Hill,June,Found
-8426362.795,5686399.468,2020,2020/10/24 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",RECOVERED,250,HARO,DOWNTOWN 16,BMX,CHILD'S,RED,Lowertown,October,Found
-8430883.556,5682386.833,2021,2021/07/12 00:00:00+00,Monday,COMMERCIAL DWELLING UNIT,STOLEN,280,VIKING PRO,N/A,MOUNTAIN,WOMEN'S,BLACK GREEN,Carlington,July,Found
-8422764.501,5692724.62,2020,2020/08/06 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,400,ROCKY MOUNTAIN,CARDIAN,MOUNTAIN,UNISEX, WHITE,Rideau Crest - Davidson Heights,August,Found
-8426847.484,5685853.545,2020,2020/10/21 00:00:00+00,Friday,PRIVATE PROPERTY STRUCTURE,STOLEN,N/A,KONA,N/A,HYBRID,MEN'S, DARK BLUE,Centretown,October,Found
-8426385.989,5687497.068,2021,2021/07/18 00:00:00+00,Monday,"STREETS, ROADS, HIGHWAYS",STOLEN,N/A,UNKNOWN,N/A,OTHER,MEN'S,BLUE,Billings Bridge - Alta Vista,July,Found
-8426847.484,5685853.545,2020,2020/10/21 00:00:00+00,Friday,PRIVATE PROPERTY STRUCTURE,RECOVERED,N/A,MARON,BRIDGEWAY,HYBRID,WOMEN'S, WHITE,Centretown,October,Found
-8428600.223,5665458.445,2020,2020/08/09 00:00:00+00,Monday,PARKING LOTS,STOLEN,500,TREK,7.0FX-WSD,TOURING,UNISEX,BLACK,Glebe - Dows Lake,August,Found
-8426833.747,5686665.312,2020,2020/10/23 00:00:00+00,Friday,"STREETS, ROADS, HIGHWAYS",RECOVERED,600,APOLLO,NOUVEAU,REGULAR,WOMEN'S,PURPLE,West Centretown,October,Found
-8426385.989,5687497.068,2021,2021/07/18 00:00:00+00,Monday,"STREETS, ROADS, HIGHWAYS",STOLEN,N/A,ACADIAN,N/A,OTHER,MEN'S,GRAY,Centretown,July,Found
-8428514.151,5686149.69,2020,2020/08/09 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,1200,KHS,KHS,RACER,MEN'S,BLACK,West Centretown,August,Found
-8427587.679,5685492.787,2020,2020/10/19 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,N/A,MARIN,N/A,MOUNTAIN,MEN'S,SILK,Centretown,October,Found
-8423847.452,5682325.19,2021,2021/07/16 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,N/A,NORTH-GO,SHORE,MOUNTAIN,MEN'S,RED WHITE,Centretown,July,Found
-8431439.175,5684358.154,2020,2020/08/09 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,N/A,SIRRUS,N/A,HYBRID,MEN'S,BLACK,West Centretown,August,Found
-8423155.595,5688757.098,2020,2020/10/21 00:00:00+00,Thursday,PRIVATE PROPERTY STRUCTURE,STOLEN,N/A,MASI,N/A,REGULAR,MEN'S, ORANGE,Vanier North,October,Found
-8451049.344,5670626.815,2021,2021/07/14 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,150,COLUMBIA,N/A,OTHER,UNISEX, DARK BLUE,Bridlewood - Emerald Meadows,July,Found
-8400008.068,5697031.026,2020,2020/08/07 00:00:00+00,Monday,PARK,STOLEN,4699,GIANT,E+PRO,RACER,MEN'S,BLACK,Island Park - Wellington Village,August,Found
-8423897.244,5690791.765,2020,2020/10/22 00:00:00+00,Thursday,PRIVATE PROPERTY STRUCTURE,STOLEN,4000,CERVELO,S2,RACER,MEN'S, WHITE,Overbrook - McArthur,October,Found
-8443899.94,5664923.107,2021,2021/07/17 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,550,GIAN,N/A,HYBRID,MEN'S,BEIGE BROWN,Stittsville,July,Found
-8424537.012,5691686.085,2020,2020/08/01 00:00:00+00,Monday,DWELLING UNIT,STOLEN,425,UNKNOWN,HOTEOCK,REGULAR,CHILD'S,BLACK  WHITE,Sandy Hill,August,Found
-8423897.244,5690791.765,2020,2020/10/22 00:00:00+00,Thursday,PRIVATE PROPERTY STRUCTURE,STOLEN,1075,SPECIALIZED,ROCKHOPPER,MOUNTAIN,MEN'S,BLACK,Island Park - Wellington Village,October,Found
,,,,,,,,,,,,,,,
-8426604.175,5685437.342,2020,2020/08/09 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,800,ROCKY MOUNTAIN,WHISTLER 10,HYBRID,MEN'S,BLUE,Island Park - Wellington Village,August,Found
-8422358.917,5681646.834,2020,2020/10/21 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,500,GT,N/A,MOUNTAIN,N/A,BLACK,Sandy Hill,October,Found
-8452452.038,5663174.475,2021,2021/07/18 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,N/A,NORC,N/A,OTHER,WOMEN'S,PURPLE,Sandy Hill,July,Found
-8428153.03,5686430.1,2020,2020/08/09 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,600,6KU,FIXED GEAR ROAD,RACER,MEN'S,BLUE,Rideau Crest - Davidson Heights,August,Found
-8425770.758,5688849.568,2020,2020/10/21 00:00:00+00,Thursday,PARKING LOTS,STOLEN,150,KHS,N/A,HYBRID,WOMEN'S,BLUE,Centretown,October,Found
-8426604.175,5685437.342,2020,2020/08/09 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,900,SCOTT,2020 ASPECT 95,MOUNTAIN,MEN'S,BLUEGREEN,Glebe - Dows Lake,August,Found
-8426034.019,5688556.776,2021,2021/07/16 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,100,UNKNOWN,SC1800,MOUNTAIN,UNISEX,RED,Elmvale - Canterbury,July,Found
,,,,,,,,,,,,,,,
-8424147.421,5689229.769,2020,2020/06/21 00:00:00+00,Monday,PARKING LOTS,STOLEN,700,GIANT,CYPRESS,HYBRID,MEN'S,GRAY,Rockcliffe Park,June,Found
-8417747.33,5679674.026,2021,2021/07/10 00:00:00+00,Saturday,"STREETS, ROADS, HIGHWAYS",N/A,150,GARY FISHER,N/A,HYBRID,MEN'S, LIGHT BLUE,Glebe - Dows Lake,July,Found
-8430820.056,5684885.02,2020,2020/08/10 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,500,GIANT,REVEL 2,MOUNTAIN,CHILD'S,GRAY,Glebe - Dows Lake,August,Found
,,,,,,,,,,,,,,,
-8425421.931,5690220.288,2021,2021/07/16 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,N/A,UNKNOWN,UNKNOWN,MOUNTAIN,UNISEX,BLACK BROWN,Hunt Club Park,July,Found
-8428600.223,5665458.445,2020,2020/08/09 00:00:00+00,Monday,PARKING LOTS,STOLEN,120,SUPER CYCLE,N/A,MOUNTAIN,WOMEN'S,GRAY,Glebe - Dows Lake,August,Found
-8426034.064,5687415.041,2020,2020/10/21 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,600,MIELE,N/A,TOURING,UNISEX,RED,Carleton University,October,Found
-8430883.556,5682386.833,2021,2021/07/10 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1000,TREK,MARLIN 6,MOUNTAIN,MEN'S,BLUE,Carlington,July,Found
,,,,,,,,,,,,,,,
-8426937,5681425.815,2020,2020/10/17 00:00:00+00,Thursday,UNIVERSITIES / COLLEGES,STOLEN,200,UNKNOWN,N/A,REGULAR,UNISEX,TRQ,Byward Market,October,Found
-8425421.931,5690220.288,2021,2021/07/16 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,N/A,UNKNOWN,N/A,REGULAR,UNISEX,BLUE,Sandy Hill,July,Found
,,,,,,,,,,,,,,,
-8422071.556,5693391.356,2020,2020/10/20 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,1000,ROCKY MOUNTAIN,SOUL,REGULAR,UNISEX, DARK BLUE,Manor Park,October,Found
,,,,,,,,,,,,,,,
-8426402.814,5684095.688,2020,2020/06/23 00:00:00+00,Monday,PRIVATE PROPERTY STRUCTURE,STOLEN,120,ASAMA,FOX,MOUNTAIN,MEN'S,PURPLE,West Centretown,June,Found
-8422071.556,5693391.356,2020,2020/10/20 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,7000,SANTA CRUZ,TALL BOY,MOUNTAIN,UNISEX, ORANGE,Manor Park,October,Found
-8428514.151,5686149.69,2020,2020/08/09 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,400,DEVINCI,DEVINCI,HYBRID,WOMEN'S,TRQ WHITE,Glebe - Dows Lake,August,Found
-8424369.459,5687726.593,2021,2021/07/16 00:00:00+00,Saturday,UNIVERSITIES / COLLEGES,STOLEN,400,ZYCLE FIX,ZF-RDDR-55,OTHER,UNISEX,RED,Lowertown,July,Found
-8430965.637,5683474.103,2020,2020/10/20 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,100,N/A,N/A,HYBRID,MEN'S,BLACK,Manor Park,October,Found
-8426175.87,5685551.04,2020,2020/08/07 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,824,OPUS,FIXIE FX,OTHER,MEN'S, WHITE,Civic Hospital-Central Park,August,Found
-8426298.42,5684155.984,2021,2021/07/16 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,N/A,CCM,UNKNOWN,REGULAR,WOMEN'S,SILK,Centretown,July,Found
-8422071.556,5693391.356,2020,2020/10/20 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,8000,SANTA CRUZ,HIGH TOWER,MOUNTAIN,UNISEX,BLUE,Island Park - Wellington Village,October,Found
-8423817.007,5687099.883,2020,2020/07/27 00:00:00+00,Sunday,PARKING LOTS,STOLEN,120,MOVELLO,N/A,REGULAR,UNISEX,BLACK,Byward Market,July,Found
-8425324.761,5687229.483,2021,2021/07/05 00:00:00+00,Friday,PRIVATE PROPERTY STRUCTURE,STOLEN,1000,TREK,MAMBA 2013,MOUNTAIN,UNISEX,BLACK,Centretown,July,Found
-8430965.637,5683474.103,2020,2020/10/20 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,200,N/A,N/A,HYBRID,WOMEN'S,CRM,Island Park - Wellington Village,October,Found
-8430175.445,5684950.603,2020,2020/07/20 00:00:00+00,Sunday,PARK,STOLEN,1140,LINUS,DUTCHI,REGULAR,WOMEN'S,BLACK,Glebe - Dows Lake,July,Found
-8424057.004,5691170.309,2021,2021/07/15 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,700,UNKNOWN,N/A,MOUNTAIN,MEN'S,BLACK,Byward Market,July,Found
-8426122.231,5689167.766,2020,2020/10/20 00:00:00+00,Wednesday,"STREETS, ROADS, HIGHWAYS",STOLEN,150,NORCO,N/A,HYBRID,MEN'S,RED,Byward Market,October,Found
-8430567.63,5680162.934,2020,2020/08/06 00:00:00+00,Sunday,PARKING LOTS,STOLEN,400,SCHWINN,N/A,OTHER,WOMEN'S,BLACK BLUE,Old Ottawa East,August,Found
-8426167.077,5687626.163,2021,2021/07/13 00:00:00+00,Friday,PARKING LOTS,STOLEN,300,GIANT,CYPRESS,HYBRID,MEN'S,BLACK,Byward Market,July,Found
