X,Y,FID_,ID,Year,Reported_D,Reported_Time,Reported_WeekDay,Occurrence,Occurren_1,Occurren_2,Location_T,Primary_Offence,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Bicycle_Speed,Ottawa_Neighboirhood,Ottawa_N_1_policeSector,Ottawa_N_2policeDevision,Census_TractUniqueId,Census_T_1_Name,X_Coordina,Y_Coordina
-8438030.4,5679349.977,3251,2886,2021,2021/07/02 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/07/01 00:00:00+00,1899/12/30 00:00:00+00,Friday,PARK,THEFT <BICYCLE,STOLEN,N/A,GIAN,UNKNOWN,HYBRID,MEN'S,RED,1,Old Ottawa South,Sector 22,Central,5050029,29,359625.6729,5025371.523
-8430487.138,5666639.371,3252,3445,2020,2020/07/31 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Friday,OPEN AREAS,THEFT <BICYCLE,STOLEN,N/A,VIKING,N/A,MOUNTAIN,WOMEN'S,BLACK,21,Old Barrhaven East,Sector 16,West,5050141.05,141.05,365018.8381,5016498.892
-8426937,5681425.815,3253,3792,2020,2020/10/03 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2020/09/11 00:00:00+00,1899/12/30 00:00:00+00,Saturday,UNIVERSITIES / COLLEGES,THEFT <BICYCLE,STOLEN,N/A,GIANT,N/A,REGULAR,MEN'S,BLUE WHITE,27,Sandy Hill,Sector 24,Central,5050020.01,20.01,367417.5989,5026899.964
-8425831.323,5689335.476,3254,2934,2021,2021/07/02 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/07/01 00:00:00+00,1899/12/30 00:00:00+00,Friday,PARKING LOTS,THEFT <BICYCLE,STOLEN,1799,GIAN,SL,HYBRID,MEN'S,RED DARK BLACK,22,Sandy Hill,Sector 24,Central,5050054,54,368139.7041,5032451.586
-8419664.287,5691594.714,3255,3721,2020,2020/07/31 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/07/25 00:00:00+00,1899/12/30 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,320,ELOPS,120,HYBRID,WOMEN'S,BLUE,6,Sandy Hill,Sector 24,Central,5050062.01,62.01,372457.5819,5034079.31
-8424632.494,5688589.643,3256,4356,2020,2020/10/03 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2020/09/29 00:00:00+00,1899/12/30 00:00:00+00,Saturday,SCHOOLS DURING SUPERVISED ACTIVITY,THEFT <BICYCLE,STOLEN,1000,UNKNOWN,GHOST,MOUNTAIN,UNISEX,TRQ,21,Carleton University,Sector 22,Central,5050051,51,368987.7079,5031937.58
-8425831.323,5689335.476,3257,2935,2021,2021/07/02 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/07/01 00:00:00+00,1899/12/30 00:00:00+00,Friday,PARKING LOTS,THEFT <BICYCLE,STOLEN,1200,CANNONDALE,QUICKSILVER,HYBRID,MEN'S,RED DARK BLACK,21,Britannia Village,Sector 14,West,5050054,54,368139.7041,5032451.586
-8427712.376,5686986.553,3258,3805,2020,2020/07/31 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,846,FUJI,ABSOLUTE,HYBRID,WOMEN'S,BLUESILK,1,Chapman Mills,Sector 16,West,5050048,48,366833.7019,5030792.572
-8433100.791,5678876.468,3259,3244,2020,2020/10/02 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/10/02 00:00:00+00,1899/12/30 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT >BICYCLE,STOLEN,N/A,GARY FISHER,N/A,TOURING,MEN'S, WHITE,21,Centretown,Sector 23,Central,5050024,24,363097.6901,5025070.522
-8426004.031,5688994.654,3260,2133,2021,2021/07/01 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2021/06/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,N/A,OTHER,N/A,HYBRID,UNISEX,BLACK,1,Byward Market,Sector 24,Central,5050054,54,368020.7041,5032211.584
-8427672.84,5687681.142,3261,3515,2020,2020/10/02 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/10/01 00:00:00+00,1899/12/30 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,1700,CUBE,SL ROAD PRO,HYBRID,MEN'S,BLACK,14,Centretown,Sector 23,Central,5050048,48,366856.7019,5031279.576
-8448492.198,5668007.229,3262,2476,2021,2021/07/01 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2021/07/01 00:00:00+00,1899/12/30 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,N/A,TREK,N/A,MOUNTAIN,MEN'S,BLUEGRAY,21,Katimavik - Hazeldean,Sector 13,West,5050160.05,160.05,352323.6121,5017351.452
-8426034.019,5688556.776,3263,3920,2020,2020/07/31 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Friday,OPEN AREAS,THEFT <BICYCLE,STOLEN,500,GIANT FLASH LIV,ROVE 3,HYBRID,WOMEN'S,GRAY,21,Carson Grove - Carson Meadows,Sector 32,East,5050054,54,368002.7049,5031904.581
-8427672.84,5687681.142,3264,4335,2020,2020/10/02 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/10/01 00:00:00+00,1899/12/30 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,600,MARIN,LARKSPUR,HYBRID,MEN'S,SILK,21,Braemar Park - Bel Air Heights - Copeland Park,Sector 17,West,5050048,48,366856.7019,5031279.576
-8427423.643,5687276.236,3265,1910,2021,2021/06/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2021/06/28 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,600,DAVINCI,N/A,RACER,MEN'S, WHITE,21,Centretown,Sector 23,Central,5050048,48,367034.703,5030997.574
-8424327.541,5685891.977,3266,3113,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/28 00:00:00+00,1899/12/30 00:00:00+00,Thursday,UNIVERSITIES / COLLEGES,THEFT <BICYCLE,STOLEN,450,N/A,GT AGGRESSOR,MOUNTAIN,MEN'S, LIGHT BLUE,0,Stittsville,Sector 13,West,5050015,15,369221.4219,5030049.376
-8425285.641,5688552.221,3267,4062,2020,2020/10/01 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/10/01 00:00:00+00,1899/12/30 00:00:00+00,Thursday,UNIVERSITIES / COLLEGES,THEFT <BICYCLE,STOLEN,700,GIANT,XL,REGULAR,MEN'S,LIGHT GREEN,0,Sandy Hill,Sector 24,Central,5050050,50,368528.8285,5031906.694
-8433327.262,5683149.644,3268,1994,2021,2021/06/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2021/06/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,OPEN AREAS,THEFT <BICYCLE,STOLEN,400,SCHW,N/A,MOUNTAIN,MEN'S, WHITE RED,21,Laurentian,Sector 14,West,5050033.01,33.01,362910.689,5028065.548
-8424327.541,5685891.977,3269,3167,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/28 00:00:00+00,1899/12/30 00:00:00+00,Thursday,UNIVERSITIES / COLLEGES,THEFT <BICYCLE,STOLEN,5500,BMC TIMEMACHINE,TIMEMACHINE TM0,RACER,MEN'S, WHITE,11,Billings Bridge - Alta Vista,Sector 34,East,5050015,15,369221.4219,5030049.376
-8426937,5681425.815,3270,3079,2020,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/09/27 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,THEFT <BICYCLE,STOLEN,1800,KONA,ROAD BIKE,MOUNTAIN,MEN'S, DARK BLUE,21,Glebe - Dows Lake,Sector 22,Central,5050020.01,20.01,367417.5989,5026899.964
-8422074.807,5681349.109,3271,2503,2021,2021/06/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2021/06/29 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,SCHOOLS DURING NOT SUPERVISED ACTIVITY,THEFT <BICYCLE,STOLEN,300,UNKNOWN,EARLY 2000S,REGULAR,MEN'S,DARK GREEN,60,Centretown,Sector 23,Central,5050005,5,370838.8789,5026881.084
-8424022.81,5682167.307,3272,3168,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/26 00:00:00+00,1899/12/30 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,300,TREK,WHITE,HYBRID,UNISEX, WHITE,16,Old Ottawa East,Sector 22,Central,5050004,4,369462.4959,5027440.577
-8427331.101,5685266.243,3273,3083,2020,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,400,LOUIS GARNEAU,N/A,REGULAR,MEN'S, DARK BLUE,10,West Centretown,Sector 22,Central,5050035,35,367113.7049,5029589.561
-8427423.643,5687276.236,3274,2574,2021,2021/06/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2021/06/28 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,770,BREEZER,COMMUTER,HYBRID,MEN'S,GRAY,18,Ledbury - Heron Gate - Ridgemont,Sector 34,East,5050048,48,367034.703,5030997.574
-8424011.185,5674638.199,3275,3170,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,445,SPECIALIZED,HOTROCK 20,MOUNTAIN,CHILD'S, WHITE,6,Hintonburg - Mechanicsville,Sector 21,Central,5050127,127,369524.8389,5022159.471
-8427331.101,5685266.243,3276,3513,2020,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,560,FUJI,ABSOLUTE 2.3,HYBRID,WOMEN'S,BLACK,0,Glebe - Dows Lake,Sector 22,Central,5050035,35,367113.7049,5029589.561
