X,Y,FID_,ID,Year,Reported_D,Reported_Time,Reported_WeekDay,Occurrence,Occurren_1,Occurren_2,Location_T,Primary_Offence,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Bicycle_Speed,Ottawa_Neighboirhood,Ottawa_N_1_policeSector,Ottawa_N_2policeDevision,Census_TractUniqueId,Census_T_1_Name,X_Coordina,Y_Coordina
-8428937.251,5667079.248,1,1729,2022,2022/09/25 00:00:00+00,1905/10/06 00:00:00+00,Sunday,2022/09/25 00:00:00+00,1905/01/03 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,800,RALEIGH,OVERTAKE,OTHER,UNISEX,WHITE,21,Rideau Crest - Davidson Heights,Sector 16,West,5050141.08,141.08,366108.0351,5016818.325
-8428326.947,5686825.648,2,352,2022,2022/09/24 00:00:00+00,1900/08/19 00:00:00+00,Saturday,2022/09/23 00:00:00+00,1903/01/04 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,800,BATCH,LIFESTYLE,HYBRID,MEN'S,BLACK,1,Carson Grove - Carson Meadows,Sector 32,East,5050047,47,366402.7011,5030675.571
-8418365.849,5690196.206,3,775,2022,2022/09/24 00:00:00+00,1903/05/25 00:00:00+00,Saturday,2022/09/23 00:00:00+00,1903/04/14 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,1500,UNKNOWN,N/A,OTHER,UNISEX,BROWN,21,Carson Grove - Carson Meadows,Sector 32,East,5050122.03,122.03,373380.7219,5033109.581
-8418365.849,5690196.206,4,776,2022,2022/09/24 00:00:00+00,1903/05/25 00:00:00+00,Saturday,2022/09/23 00:00:00+00,1903/04/14 00:00:00+00,Friday,PARKING LOTS,THEFT<BICYCLE,STOLEN,1500,UNKNOWN,N/A,HYBRID,UNISEX,BROWN,21,Lebreton Development,Sector 22,Central,5050122.03,122.03,373380.7219,5033109.581
-8425134.587,5688289.587,5,1614,2022,2022/09/23 00:00:00+00,1903/11/21 00:00:00+00,Friday,2022/09/15 00:00:00+00,1903/02/03 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,350,MONGOOSE,N/A,OTHER,UNISEX,SILK,0,Centretown,Sector 23,Central,5050050,50,368636.8819,5031723.753
-8427036.027,5688070.143,6,1728,2022,2022/09/23 00:00:00+00,1904/06/25 00:00:00+00,Friday,2022/09/22 00:00:00+00,1904/06/17 00:00:00+00,Thursday,PARKING LOTS,THEFT<BICYCLE,STOLEN,1000,TREK,LEXA,OTHER,WOMEN'S,WHITE,18,Sandy Hill,Sector 24,Central,5050048,48,367301.703,5031556.579
-8429178.386,5686268.354,7,350,2022,2022/09/22 00:00:00+00,1904/06/10 00:00:00+00,Thursday,2022/09/21 00:00:00+00,1902/09/26 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,1000,OPUS,ANDANTE,RACER,WOMEN'S,BLACK,0,Sandy Hill,Sector 24,Central,5050047,47,365807.829,5030279.188
-8429178.386,5686268.354,8,351,2022,2022/09/22 00:00:00+00,1904/06/10 00:00:00+00,Thursday,2022/09/21 00:00:00+00,1902/09/26 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,THEFT<BICYCLE,STOLEN,1000,OPUS,ANDANTE,MOUNTAIN,WOMEN'S,BLACK,0,Sandy Hill,Sector 24,Central,5050047,47,365807.829,5030279.188
-8425285.641,5688552.221,9,1009,2022,2022/09/22 00:00:00+00,1903/01/09 00:00:00+00,Thursday,2022/09/21 00:00:00+00,1905/01/03 00:00:00+00,Wednesday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,BR UNDER/RECOG,STOLEN,1500,SCOTT,SCALE 980,RACER,MEN'S,GRAY,12,West Centretown,Sector 22,Central,5050050,50,368528.8285,5031906.694
-8424934.186,5688410.528,10,1010,2022,2022/09/22 00:00:00+00,1906/06/09 00:00:00+00,Thursday,2022/09/22 00:00:00+00,1905/09/30 00:00:00+00,Thursday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,THEFT<BICYCLE,STOLEN,1000,FELT,VERZASPEED SUPE,RACER,MEN'S,GRAY,0,West Centretown,Sector 22,Central,5050050,50,368776.9019,5031809.923
-8426101.274,5687521.321,11,682,2022,2022/09/21 00:00:00+00,1903/09/13 00:00:00+00,Wednesday,2022/09/19 00:00:00+00,1903/04/14 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,B&E NON-RESIDENC,STOLEN,800,ELECTRA,TOWNIE,OTHER,MEN'S,BLUE,21,Centretown,Sector 23,Central,5050037,37,367962.706,5031178.574
-8426101.274,5687521.321,12,683,2022,2022/09/21 00:00:00+00,1903/09/13 00:00:00+00,Wednesday,2022/09/19 00:00:00+00,1903/04/14 00:00:00+00,Monday,SCHOOLS DURING SUPERVISED ACTIVITY,THEFT<BICYCLE,STOLEN,800,ELECTRA,TOWNIE,HYBRID,MEN'S,BLUE,21,Centretown,Sector 23,Central,5050037,37,367962.706,5031178.574
-8426406.814,5689689.559,13,845,2022,2022/09/21 00:00:00+00,1905/07/20 00:00:00+00,Wednesday,2022/09/21 00:00:00+00,1902/06/18 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,THEFT<BICYCLE,STOLEN,1250,SURLY,DISC TRUCKER,REGULAR,UNISEX,DARK GREEN,0,Centretown,Sector 23,Central,5050055,55,367732.7019,5032695.589
-8426406.814,5689689.559,14,846,2022,2022/09/21 00:00:00+00,1905/07/20 00:00:00+00,Wednesday,2022/09/21 00:00:00+00,1902/06/18 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,THEFT<BICYCLE,STOLEN,1250,SURLY,DISC TRUCKER,MOUNTAIN,UNISEX,DARK GREEN,0,Centretown,Sector 23,Central,5050055,55,367732.7019,5032695.589
-8427423.643,5687276.236,15,1007,2022,2022/09/21 00:00:00+00,1903/02/19 00:00:00+00,Wednesday,2022/09/17 00:00:00+00,1904/08/26 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,800,TREK,N/A,REGULAR,UNISEX,GRAY,18,Centretown,Sector 23,Central,5050048,48,367034.703,5030997.574
-8427423.643,5687276.236,16,1008,2022,2022/09/21 00:00:00+00,1903/02/19 00:00:00+00,Wednesday,2022/09/17 00:00:00+00,1904/08/26 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,800,TREK,N/A,OTHER,UNISEX,GRAY,18,Centretown,Sector 23,Central,5050048,48,367034.703,5030997.574
-8426651.88,5686360.984,17,1206,2022,2022/09/21 00:00:00+00,1904/09/15 00:00:00+00,Wednesday,2021/09/01 00:00:00+00,1903/04/14 00:00:00+00,Wednesday,OPEN AREAS,THEFT<BICYCLE,STOLEN,500,REILLY,N/A,TOURING,WOMEN'S,LIGHT BLUE,1,Centretown,Sector 23,Central,5050039,39,367583.706,5030361.567
-8426651.88,5686360.984,18,1207,2022,2022/09/21 00:00:00+00,1904/09/15 00:00:00+00,Wednesday,2021/09/01 00:00:00+00,1903/04/14 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,500,REILLY,N/A,HYBRID,WOMEN'S,LIGHT BLUE,1,Glebe - Dows Lake,Sector 22,Central,5050039,39,367583.706,5030361.567
-8424437.604,5688031.03,19,1222,2022,2022/09/21 00:00:00+00,1904/12/28 00:00:00+00,Wednesday,2022/09/21 00:00:00+00,1902/04/09 00:00:00+00,Wednesday,OPEN AREAS,PROP FOUND/REC,STOLEN,600,MARIN,BOLINAS RIDGE 1,TOURING,MEN'S,LIGHT GREEN,1,Sandy Hill,Sector 24,Central,5050051,51,369128.7101,5031547.576
-8426424.534,5688054.039,20,1512,2022,2022/09/21 00:00:00+00,1905/03/19 00:00:00+00,Wednesday,2022/09/21 00:00:00+00,1903/04/14 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,B&E NON-RESIDENC,STOLEN,3000,KONA,ROADHOUSE,REGULAR,MEN'S,RED,11,Byward Market,Sector 24,Central,5050048,48,367731.7041,5031549.578
-8426358.103,5685015.416,21,1727,2022,2022/09/21 00:00:00+00,1904/03/25 00:00:00+00,Wednesday,2022/09/21 00:00:00+00,1902/06/18 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,B&E NON-RESIDENC,STOLEN,300,SPECIALIZED,N/A,HYBRID,UNISEX,WHITE,0,Byward Market,Sector 24,Central,5050019,19,367799.7079,5029420.559
-8423274.243,5689115.162,22,681,2022,2022/09/20 00:00:00+00,1905/04/10 00:00:00+00,Tuesday,2022/09/19 00:00:00+00,1905/06/22 00:00:00+00,Monday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,1500,TREK,N/A,MOUNTAIN,UNISEX,BLUE,1,Centretown,Sector 23,Central,5050013,13,369938.711,5032315.582
-8425813.698,5687546.964,23,1006,2022,2022/09/20 00:00:00+00,1903/02/19 00:00:00+00,Tuesday,2022/09/18 00:00:00+00,1905/06/30 00:00:00+00,Sunday,PHARMACY,THEFT<BICYCLE,STOLEN,N/A,NORC,INDIE SERIES 1,REGULAR,MEN'S,GRAY,8,Laurentian,Sector 14,West,5050037,37,368164.7071,5031198.574
-8433226.71,5683224.519,24,1510,2022,2022/09/20 00:00:00+00,1905/04/29 00:00:00+00,Tuesday,2022/09/20 00:00:00+00,1905/03/14 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,1000,NORCO,INDY,TOURING,UNISEX,RED,1,Overbrook - McArthur,Sector 25,Central,5050033.01,33.01,362980.9327,5028118.693
-8422581.456,5689386.276,25,1511,2022,2022/09/20 00:00:00+00,1902/10/30 00:00:00+00,Tuesday,2022/09/20 00:00:00+00,1900/07/18 00:00:00+00,Tuesday,UNIVERSITIES / COLLEGES,THEFT<BICYCLE,STOLEN,N/A,RALE,VENTURE 2,MOUNTAIN,UNISEX,RED,21,Overbrook - McArthur,Sector 25,Central,5050101,101,370423.7121,5032510.583
-8422581.456,5689386.276,26,1810,2022,2022/09/20 00:00:00+00,1902/10/30 00:00:00+00,Tuesday,2022/09/20 00:00:00+00,1900/07/18 00:00:00+00,Tuesday,OPEN AREAS,THEFT<BICYCLE,STOLEN,1000,CANNONDALE,TRAIL 8,RACER,UNISEX,YELLOW,10,Overbrook - McArthur,Sector 25,Central,5050101,101,370423.7121,5032510.583
-8418259.422,5684543.838,27,680,2022,2022/09/19 00:00:00+00,1904/03/07 00:00:00+00,Monday,2022/09/14 00:00:00+00,1904/05/18 00:00:00+00,Wednesday,PRIVATE PROPERTY STRUCTURE,THEFT<BICYCLE,STOLEN,200,SUPERCYCLE,SC1800,HYBRID,MEN'S,BLUE,18,Lowertown,Sector 24,Central,5050010,10,373498.7321,5029149.549
-8425134.587,5688289.587,28,1003,2022,2022/09/19 00:00:00+00,1904/09/26 00:00:00+00,Monday,2022/09/19 00:00:00+00,1903/01/24 00:00:00+00,Monday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,1000,GIANT,TALON,HYBRID,MEN'S,GRAY,30,Lowertown,Sector 24,Central,5050050,50,368636.8819,5031723.753
-8423436.841,5690594.276,29,1004,2022,2022/09/19 00:00:00+00,1903/02/24 00:00:00+00,Monday,2022/09/18 00:00:00+00,1902/09/26 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,800,TREK,N/A,OTHER,MEN'S,GRAY,0,Lowertown,Sector 24,Central,5050104,104,369813.7079,5033350.592
-8417421.141,5692669.405,30,1005,2022,2022/09/19 00:00:00+00,1903/02/22 00:00:00+00,Monday,2022/09/18 00:00:00+00,1906/04/18 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,550,NORTHROCK,N/A,HYBRID,MEN'S,GRAY,0,Tanglewood,Sector 17,West,5050120.01,120.01,374025.64,5034849.148
-8425103.347,5689395.703,31,1059,2022,2022/09/19 00:00:00+00,1903/06/11 00:00:00+00,Monday,2022/09/19 00:00:00+00,1903/04/14 00:00:00+00,Monday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,100,SUPERCYCLE,N/A,HYBRID,MEN'S,GRAY BLACK,6,Sandy Hill,Sector 24,Central,5050053,53,368650.9811,5032498.951
-8430108.376,5674090.388,32,1146,2022,2022/09/19 00:00:00+00,1902/10/26 00:00:00+00,Monday,2022/08/28 00:00:00+00,1905/09/30 00:00:00+00,Sunday,UNIVERSITIES / COLLEGES,THEFT<BICYCLE,STOLEN,N/A,UNKNOWN,UNKNOWN,MOUNTAIN,MEN'S,GREEN,21,Vanier North,Sector 25,Central,5050130.02,130.02,365235.7,5021732.494
-8423321.86,5691555.865,33,1205,2022,2022/09/19 00:00:00+00,1903/01/04 00:00:00+00,Monday,2022/09/19 00:00:00+00,1901/08/22 00:00:00+00,Monday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,N/A,NORKO,SCENE 3,MOUNTAIN,WOMEN'S,LIGHT BLUE,3,Vanier North,Sector 25,Central,5050103,103,369887.5491,5034024.977
-8425518.818,5690135.967,34,1508,2022,2022/09/19 00:00:00+00,1903/12/27 00:00:00+00,Monday,2022/09/18 00:00:00+00,1903/01/04 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,900,MOUNTAIN EQUIPM,DESIRE,HYBRID,MEN'S,RED,8,Hawthorne Meadows - Sheffield Glen,Sector 33,East,5050056,56,368353.7041,5033014.591
-8425611.019,5690305.349,35,1509,2022,2022/09/19 00:00:00+00,1904/02/13 00:00:00+00,Monday,2022/09/18 00:00:00+00,1905/09/30 00:00:00+00,Sunday,PARKING LOTS,THEFT<BICYCLE,STOLEN,500,DECATHLON,B-TWIN,HYBRID,UNISEX,RED,6,Elmvale - Canterbury,Sector 33,East,5050056,56,368287.703,5033132.592
-8420228.143,5685535.325,36,1726,2022,2022/09/19 00:00:00+00,1903/11/29 00:00:00+00,Monday,2022/09/18 00:00:00+00,1905/07/22 00:00:00+00,Sunday,PRIVATE PROPERTY STRUCTURE,B&E NON-RESIDENC,STOLEN,2100,RAD POWER BIKE,RADCITY STEP TH,HYBRID,WOMEN'S,WHITE,7,Rothwell Heights - Beacon Hill North,Sector 32,East,5050011.01,11.01,372106.7249,5029829.557
-8425073.362,5688882.456,37,919,2022,2022/06/16 00:00:00+00,1904/06/09 00:00:00+00,Thursday,2022/05/16 00:00:00+00,1906/02/07 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,RECOV STLN PROP<,STOLEN,800,UNKNOWN,N/A,RACER,MEN'S,GRAY,7,Vanier South,Sector 25,Central,5050051,51,368675.7071,5032139.582
-8425635.677,5685304.894,38,348,2022,2022/09/18 00:00:00+00,1903/12/29 00:00:00+00,Sunday,2022/09/18 00:00:00+00,1901/08/22 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,2000,SURLY,N/A,HYBRID,MEN'S,BLACK,21,Glebe - Dows Lake,Sector 22,Central,5050018,18,368305.7101,5029628.56
-8424403.486,5688727.171,39,349,2022,2022/09/18 00:00:00+00,1904/09/02 00:00:00+00,Sunday,2022/09/16 00:00:00+00,1902/09/26 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,500,TREK,MARLIN 5 2016,HYBRID,UNISEX,BLACK,21,Glebe - Dows Lake,Sector 22,Central,5050051,51,369147.709,5032035.581
-8433028.405,5684594.799,40,676,2022,2022/09/18 00:00:00+00,1903/02/21 00:00:00+00,Sunday,2022/09/17 00:00:00+00,1906/05/23 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,800,KONA,DEW DELUXE,HYBRID,UNISEX,BLUE,15,Glebe - Dows Lake,Sector 22,Central,5050045,45,363111.5279,5029080.562
-8433028.405,5684594.799,41,677,2022,2022/09/18 00:00:00+00,1903/02/21 00:00:00+00,Sunday,2022/09/17 00:00:00+00,1906/05/23 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",PROPERTY SEIZED,STOLEN,800,KONA,DEW DELUXE,MOUNTAIN,UNISEX,BLUE,15,Sandy Hill,Sector 24,Central,5050045,45,363111.5279,5029080.562
-8431835.404,5684117.137,42,1579,2022,2022/04/25 00:00:00+00,1904/10/17 00:00:00+00,Monday,2022/04/25 00:00:00+00,1904/10/17 00:00:00+00,Monday,UNIVERSITIES / COLLEGES,THEFT<BICYCLE,STOLEN,5000,NORC,OPTIC CS,MOUNTAIN,WOMEN'S,SILK,0,Island Park - Wellington Village,Sector 21,Central,5050045,45,363953.6929,5028753.555
-8423710.116,5692387.472,43,678,2022,2022/09/18 00:00:00+00,1903/01/20 00:00:00+00,Sunday,2022/09/18 00:00:00+00,1900/11/25 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",THEFT<FRM VEHICL,STOLEN,1500,ROCM,N/A,HYBRID,MEN'S,BLUE,12,Westboro,Sector 21,Central,5050110,110,369608.7041,5034604.604
-8423710.116,5692387.472,44,679,2022,2022/09/18 00:00:00+00,1903/01/20 00:00:00+00,Sunday,2022/09/18 00:00:00+00,1900/11/25 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,1500,ROCM,N/A,MOUNTAIN,MEN'S,BLUE,12,Westboro,Sector 21,Central,5050110,110,369608.7041,5034604.604
-8444308.978,5665226.763,45,1505,2022,2022/09/18 00:00:00+00,1903/05/09 00:00:00+00,Sunday,2022/09/18 00:00:00+00,1901/02/18 00:00:00+00,Sunday,DWELLING UNIT,THEFT<BICYCLE,STOLEN,1399,TREK,FX3,MOUNTAIN,MEN'S,RED,18,Rockcliffe Park,Sector 25,Central,5050161.06,161.06,355286.629,5015421.433
-8444308.978,5665226.763,46,1506,2022,2022/09/18 00:00:00+00,1903/05/09 00:00:00+00,Sunday,2022/09/18 00:00:00+00,1901/02/18 00:00:00+00,Sunday,PRIVATE PROPERTY STRUCTURE,THEFT<BICYCLE,STOLEN,1399,TREK,FX3,REGULAR,MEN'S,RED,18,Rockcliffe Park,Sector 25,Central,5050161.06,161.06,355286.629,5015421.433
-8444308.978,5665226.763,47,1507,2022,2022/09/18 00:00:00+00,1903/05/09 00:00:00+00,Sunday,2022/09/18 00:00:00+00,1901/02/18 00:00:00+00,Sunday,CONVENIENCE STORES'Age,THEFT<BICYCLE,STOLEN,1399,TREK,FX3,MOUNTAIN,MEN'S,RED,18,Bridlewood - Emerald Meadows,Sector 13,West,5050161.06,161.06,355286.629,5015421.433
-8425279.586,5685645.137,48,1612,2022,2022/09/18 00:00:00+00,1904/04/03 00:00:00+00,Sunday,2022/09/06 00:00:00+00,1903/04/14 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,1150,GIAN,N/A,HYBRID,MEN'S,SILK,0,Bridlewood - Emerald Meadows,Sector 13,West,5050036,36,368553.7101,5029869.562
-8425279.586,5685645.137,49,1613,2022,2022/09/18 00:00:00+00,1904/04/03 00:00:00+00,Sunday,2022/09/06 00:00:00+00,1903/04/14 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,1150,GIAN,N/A,MOUNTAIN,MEN'S,SILK,0,Bridlewood - Emerald Meadows,Sector 13,West,5050036,36,368553.7101,5029869.562
-8430990.332,5679885.675,50,344,2022,2022/09/17 00:00:00+00,1901/09/21 00:00:00+00,Saturday,2022/09/17 00:00:00+00,1900/11/14 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,800,KONA,DEW,MOUNTAIN,UNISEX,BLACK,0,Civic Hospital-Central Park,Sector 21,Central,5050023.02,23.02,364576.1811,5025792.242
-8431337.532,5679047.363,51,345,2022,2022/09/17 00:00:00+00,1900/01/27 00:00:00+00,Saturday,2022/09/16 00:00:00+00,1905/03/14 00:00:00+00,Friday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,300,UNKNOWN,N/A,MOUNTAIN,MEN'S,BLACK,1,Civic Hospital-Central Park,Sector 21,Central,5050023.02,23.02,364337.423,5025201.977
-8430990.332,5679885.675,52,346,2022,2022/09/17 00:00:00+00,1901/09/21 00:00:00+00,Saturday,2022/09/17 00:00:00+00,1900/11/14 00:00:00+00,Saturday,UNIVERSITIES / COLLEGES,THEFT<BICYCLE,STOLEN,800,KONA,DEW,REGULAR,UNISEX,BLACK,0,Civic Hospital-Central Park,Sector 21,Central,5050023.02,23.02,364576.1811,5025792.242
-8425134.587,5688289.587,53,347,2022,2022/09/17 00:00:00+00,1903/12/20 00:00:00+00,Saturday,2022/09/16 00:00:00+00,1904/03/24 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT<BICYCLE,STOLEN,250,FYXNATION,PIXEL,HYBRID,MEN'S,BLACK,1,Civic Hospital-Central Park,Sector 21,Central,5050050,50,368636.8819,5031723.753
-8430990.332,5679885.675,54,1001,2022,2022/09/17 00:00:00+00,1901/09/21 00:00:00+00,Saturday,2022/09/17 00:00:00+00,1900/11/14 00:00:00+00,Saturday,PRIVATE PROPERTY STRUCTURE,THEFT<BICYCLE,STOLEN,100,GARY FISHER,TASS,OTHER,MEN'S,GRAY,0,Civic Hospital-Central Park,Sector 21,Central,5050023.02,23.02,364576.1811,5025792.242
-8430990.332,5679885.675,55,1002,2022,2022/09/17 00:00:00+00,1901/09/21 00:00:00+00,Saturday,2022/09/17 00:00:00+00,1900/11/14 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,100,GARY FISHER,TASS,MOUNTAIN,MEN'S,GRAY,0,Sandy Hill,Sector 24,Central,5050023.02,23.02,364576.1811,5025792.242
-8423598.977,5688524.77,56,1142,2022,2022/09/17 00:00:00+00,1903/12/20 00:00:00+00,Saturday,2022/09/15 00:00:00+00,1904/09/25 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,B&E NON-RESIDENC,STOLEN,420,DIADORA,N/A,MOUNTAIN,MEN'S,GREEN,1,Sandy Hill,Sector 24,Central,5050052,52,369714.711,5031899.578
-8423598.977,5688524.77,57,1143,2022,2022/09/17 00:00:00+00,1903/12/20 00:00:00+00,Saturday,2022/09/15 00:00:00+00,1904/09/25 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT<BICYCLE,STOLEN,420,DIADORA,N/A,MOUNTAIN,MEN'S,GREEN,1,Sandy Hill,Sector 24,Central,5050052,52,369714.711,5031899.578
-8423482.066,5690209.305,58,1144,2022,2022/09/17 00:00:00+00,1904/12/11 00:00:00+00,Saturday,2022/09/09 00:00:00+00,1904/12/04 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,B&E NON-RESIDENC,STOLEN,500,GIANT SUECLE,N/A,HYBRID,WOMEN'S,GREEN,5,Vanier North,Sector 25,Central,5050101,101,369784.709,5033080.589
-8423482.066,5690209.305,59,1145,2022,2022/09/17 00:00:00+00,1904/12/11 00:00:00+00,Saturday,2022/09/09 00:00:00+00,1904/12/04 00:00:00+00,Friday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,500,GIANT SUECLE,N/A,HYBRID,WOMEN'S,GREEN,5,Vanier North,Sector 25,Central,5050101,101,369784.709,5033080.589
-8430990.332,5679885.675,60,674,2022,2022/09/16 00:00:00+00,1904/12/18 00:00:00+00,Friday,2022/09/15 00:00:00+00,1905/09/30 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",PROPERTY SEIZED,STOLEN,600,TREK,N/A,HYBRID,MEN'S,BLUE,21,Centretown,Sector 23,Central,5050023.02,23.02,364576.1811,5025792.242
-8430990.332,5679885.675,61,675,2022,2022/09/16 00:00:00+00,1904/12/18 00:00:00+00,Friday,2022/09/15 00:00:00+00,1905/09/30 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,600,TREK,N/A,HYBRID,MEN'S,BLUE,21,Civic Hospital-Central Park,Sector 21,Central,5050023.02,23.02,364576.1811,5025792.242
-8422984.65,5685206.211,62,1000,2022,2022/09/16 00:00:00+00,1904/10/02 00:00:00+00,Friday,2022/09/16 00:00:00+00,1902/04/04 00:00:00+00,Friday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,550,B'TWINN,RIVERSIDE 500 R,HYBRID,MEN'S,GRAY,9,Civic Hospital-Central Park,Sector 21,Central,5050011.03,11.03,370170.7101,5029578.465
-8430990.332,5679885.675,63,1071,2022,2022/09/16 00:00:00+00,1904/12/18 00:00:00+00,Friday,2022/09/15 00:00:00+00,1905/09/30 00:00:00+00,Thursday,SCHOOLS DURING SUPERVISED ACTIVITY,THEFT<BICYCLE,STOLEN,600,DEVINCI,N/A,HYBRID,WOMEN'S,GRAY BLUE,24,Civic Hospital-Central Park,Sector 21,Central,5050023.02,23.02,364576.1811,5025792.242
-8430990.332,5679885.675,64,1072,2022,2022/09/16 00:00:00+00,1904/12/18 00:00:00+00,Friday,2022/09/15 00:00:00+00,1905/09/30 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",PROPERTY SEIZED,STOLEN,600,DEVINCI,N/A,HYBRID,WOMEN'S,GRAY BLUE,24,Civic Hospital-Central Park,Sector 21,Central,5050023.02,23.02,364576.1811,5025792.242
-8446752.14,5668193.301,65,1504,2022,2022/09/16 00:00:00+00,1902/08/12 00:00:00+00,Friday,2022/09/09 00:00:00+00,1904/02/28 00:00:00+00,Friday,PRIVATE PROPERTY STRUCTURE,B&E RESIDENCE,STOLEN,300,UNKNOWN,N/A,OTHER,MEN'S,RED,1,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.01,162.01,353548.6219,5017491.452
-8426977.237,5687973.936,66,1725,2022,2022/09/16 00:00:00+00,1905/07/31 00:00:00+00,Friday,2022/09/16 00:00:00+00,1903/04/14 00:00:00+00,Friday,"SINGLE HOME, HOUSE",B&E RESIDENCE,STOLEN,1200,DEVINCI,ST TROPEZ,HYBRID,WOMEN'S,WHITE,1,Riverview,Sector 33,East,5050048,48,367343.703,5031489.578
-8426418.431,5682956.099,67,844,2022,2022/09/15 00:00:00+00,1905/01/10 00:00:00+00,Thursday,2022/09/15 00:00:00+00,1905/01/10 00:00:00+00,Thursday,SCHOOLS DURING NOT SUPERVISED ACTIVITY,THEFT<BICYCLE,STOLEN,500,ROCM,N/A,MOUNTAIN,MEN'S,DARK GREEN,0,Centretown,Sector 23,Central,5050020.01,20.01,367771.709,5027976.546
-8422519.443,5690287.784,68,999,2022,2022/09/15 00:00:00+00,1905/04/13 00:00:00+00,Thursday,2022/09/15 00:00:00+00,1904/02/08 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",THEFT<BICYCLE,STOLEN,1000,OPUS,IVAN,HYBRID,MEN'S,GRAY,7,Glebe - Dows Lake,Sector 22,Central,5050100,100,370460.711,5033142.589
-8426550.521,5687257.543,69,1307,2022,2022/09/15 00:00:00+00,1903/04/17 00:00:00+00,Thursday,2022/09/15 00:00:00+00,1901/02/03 00:00:00+00,Thursday,UNIVERSITIES / COLLEGES,THEFT<BICYCLE,STOLEN,N/A,UNKNOWN,N/A,MOUNTAIN,UNISEX,N/A,1,Byward Market,Sector 24,Central,5050038,38,367648.7049,5030990.573
