X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,Diff_Rep_Occu,Brand_Popularity,Range_Price,Weekend_or_WeekDay
-8427423.643,5687276.236,2022,2022/09/17 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,800,TREK,REGULAR,UNISEX,GRAY,Centretown,September,4,Well-Known,LOW PRICE,Weekend
-8427423.643,5687276.236,2022,2022/09/17 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,800,TREK,OTHER,UNISEX,GRAY,Centretown,September,4,Well-Known,LOW PRICE,Weekend
-8426651.88,5686360.984,2022,2021/09/01 00:00:00+00,Wednesday,OPEN AREAS,STOLEN,500,REILLY,TOURING,WOMEN'S,BLUE,Centretown,September,385,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8426651.88,5686360.984,2022,2021/09/01 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,500,REILLY,HYBRID,WOMEN'S,BLUE,Glebe - Dows Lake,September,385,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8424437.604,5688031.03,2022,2022/09/21 00:00:00+00,Wednesday,OPEN AREAS,STOLEN,600,MARLIN,TOURING,MEN'S,GREEN,Sandy Hill,September,0,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8426424.534,5688054.039,2022,2022/09/21 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,3000,KONA,REGULAR,MEN'S,RED,Byward Market,September,0,Well-Known,AFFORDABLE,Week_Day
-8426358.103,5685015.416,2022,2022/09/21 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,300,SPECIALIZED,HYBRID,UNISEX,WHITE,Byward Market,September,0,Well-Known,VERY LOW PRICE,Week_Day
-8423274.243,5689115.162,2022,2022/09/19 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,1500,TREK,MOUNTAIN,UNISEX,BLUE,Centretown,September,1,Well-Known,AFFORDABLE,Week_Day
-8425813.698,5687546.964,2022,2022/09/18 00:00:00+00,Sunday,PHARMACY,STOLEN,1100,NORCO,REGULAR,MEN'S,GRAY,Laurentian,September,2,FAIRLY RECOGNIZED,AFFORDABLE,Weekend
-8433226.71,5683224.519,2022,2022/09/20 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,1000,NORCO,TOURING,UNISEX,RED,Overbrook - McArthur,September,0,FAIRLY RECOGNIZED,LOW PRICE,Week_Day
-8422581.456,5689386.276,2022,2022/09/20 00:00:00+00,Tuesday,UNIVERSITIES / COLLEGES,STOLEN,750,RALEIGH,MOUNTAIN,UNISEX,RED,Overbrook - McArthur,September,0,FAIRLY RECOGNIZED,LOW PRICE,Week_Day
-8422581.456,5689386.276,2022,2022/09/20 00:00:00+00,Tuesday,OPEN AREAS,STOLEN,1000,CANNONDALE,RACER,UNISEX,YELLOW,Overbrook - McArthur,September,0,Well-Known,LOW PRICE,Week_Day
-8418259.422,5684543.838,2022,2022/09/14 00:00:00+00,Wednesday,PRIVATE PROPERTY STRUCTURE,STOLEN,200,SUPERCYCLE,HYBRID,MEN'S,BLUE,Lowertown,September,5,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
-8425134.587,5688289.587,2022,2022/09/19 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,1000,GIANT,HYBRID,MEN'S,GRAY,Lowertown,September,0,Well-Known,LOW PRICE,Week_Day
